  E*/MeV   189At     190At     191At     BF=0.62     193At     194At     195At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.121E-11 0.102E-05 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.493E-07 0.609E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.783E-05 0.220E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.113E-03 0.317E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.315E-03 0.249E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.370E-03 0.139E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.398E-08 0.273E-03 0.613E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.913E-06 0.151E-03 0.216E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.134E-04 0.677E-04 0.268E-06 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.618E-04 0.262E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.128E-03 0.914E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.352E-09 0.140E-03 0.299E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.246E-07 0.105E-03 0.935E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.324E-06 0.627E-04 0.256E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.153E-05 0.326E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.333E-05 0.155E-04 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.431E-05 0.692E-05 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.102E-10 0.402E-05 0.296E-05 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.473E-09 0.302E-05 0.122E-05 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.609E-08 0.197E-05 0.496E-06 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.358E-07 0.116E-05 0.197E-06 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.117E-06 0.631E-06 0.766E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.336E-13 0.237E-06 0.326E-06 0.276E-07 0.000E+00 0.000E+00 0.000E+00
    66.0 0.241E-11 0.337E-06 0.161E-06 0.591E-08 0.000E+00 0.000E+00 0.000E+00
    68.0 0.475E-10 0.374E-06 0.774E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.383E-09 0.345E-06 0.362E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00


    
      E*/MeV   189At     190At     191At     BF=0.68     193At     194At     195At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-11 0.147E-05 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.710E-07 0.925E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.110E-04 0.346E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.161E-03 0.507E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.477E-03 0.400E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.575E-03 0.224E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.624E-08 0.431E-03 0.985E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.140E-05 0.241E-03 0.351E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.202E-04 0.109E-03 0.844E-06 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.937E-04 0.425E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.198E-03 0.149E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.600E-09 0.220E-03 0.489E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.411E-07 0.165E-03 0.153E-05 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.532E-06 0.991E-04 0.437E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.249E-05 0.517E-04 0.718E-07 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.542E-05 0.246E-04 0.000E+00 0.000E+00 0.000E+00
