     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    58.0     84.28      0.45    197.31      1.25
    60.0     84.26      0.44    197.18      1.26
    62.0     84.25      0.43    197.04      1.26
    64.0     84.22      0.42    196.97      1.26
    66.0     84.21      0.41    196.83      1.26
    68.0     84.19      0.39    196.70      1.24
    70.0     84.16      0.37    196.59      1.19
    72.0     84.13      0.34    196.47      1.11
    74.0     84.11      0.31    196.39      1.01
    76.0     84.09      0.28    196.32      0.90
    78.0     84.07      0.26    196.26      0.79
    80.0     84.06      0.25    196.19      0.69
                                                                        
           



 Ende HIVAP 
