E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
417.655	59.0	0.000E+00	0.000E+00	0.206E-01	0.166E+01	0.795E+00	0.552E-02	0.130E-05
419.611	60.0	0.000E+00	0.000E+00	0.332E-01	0.161E+01	0.592E+00	0.343E-02	0.000E+00
421.568	61.0	0.000E+00	0.000E+00	0.500E-01	0.153E+01	0.435E+00	0.213E-02	0.000E+00
423.524	62.0	0.000E+00	0.000E+00	0.710E-01	0.142E+01	0.316E+00	0.131E-02	0.000E+00
425.481	63.0	0.000E+00	0.263E-06	0.956E-01	0.128E+01	0.227E+00	0.801E-03	0.000E+00
427.437	64.0	0.000E+00	0.138E-05	0.123E+00	0.114E+01	0.162E+00	0.488E-03	0.000E+00
429.394	65.0	0.000E+00	0.576E-05	0.152E+00	0.990E+00	0.114E+00	0.296E-03	0.000E+00
431.350	66.0	0.000E+00	0.197E-04	0.181E+00	0.845E+00	0.800E-01	0.178E-03	0.000E+00
433.307	67.0	0.000E+00	0.570E-04	0.208E+00	0.708E+00	0.556E-01	0.107E-03	0.000E+00
435.263	68.0	0.000E+00	0.143E-03	0.232E+00	0.584E+00	0.383E-01	0.636E-04	0.000E+00
437.220	69.0	0.000E+00	0.316E-03	0.251E+00	0.475E+00	0.263E-01	0.376E-04	0.000E+00
439.177	70.0	0.000E+00	0.630E-03	0.264E+00	0.381E+00	0.179E-01	0.220E-04	0.000E+00
441.133	71.0	0.000E+00	0.115E-02	0.271E+00	0.301E+00	0.121E-01	0.127E-04	0.000E+00
443.090	72.0	0.000E+00	0.195E-02	0.271E+00	0.235E+00	0.818E-02	0.696E-05	0.000E+00
445.046	73.0	0.000E+00	0.308E-02	0.265E+00	0.182E+00	0.548E-02	0.360E-05	0.000E+00
447.003	74.0	0.872E-07	0.460E-02	0.254E+00	0.139E+00	0.366E-02	0.168E-05	0.000E+00
448.959	75.0	0.342E-06	0.652E-02	0.238E+00	0.106E+00	0.243E-02	0.173E-06	0.000E+00
450.916	76.0	0.113E-05	0.885E-02	0.219E+00	0.794E-01	0.160E-02	0.000E+00	0.000E+00
452.872	77.0	0.324E-05	0.115E-01	0.198E+00	0.591E-01	0.106E-02	0.000E+00	0.000E+00
454.829	78.0	0.813E-05	0.145E-01	0.175E+00	0.437E-01	0.691E-03	0.000E+00	0.000E+00
456.785	79.0	0.183E-04	0.176E-01	0.153E+00	0.321E-01	0.451E-03	0.000E+00	0.000E+00
458.742	80.0	0.375E-04	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
