   E*/MeV   180Pb     181Pb     182Pb     183Pb     184Pb     185Pb     186Pb  
    41.0 0.000E+00 0.000E+00 0.000E+00 0.510E-07 0.345E-02 0.102E-02 0.119E-05
    42.0 0.000E+00 0.000E+00 0.000E+00 0.235E-06 0.391E-02 0.711E-03 0.639E-06
    43.0 0.000E+00 0.000E+00 0.000E+00 0.803E-06 0.401E-02 0.464E-03 0.245E-06
    44.0 0.000E+00 0.000E+00 0.000E+00 0.227E-05 0.382E-02 0.290E-03 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.558E-05 0.344E-02 0.178E-03 0.000E+00
    
    
      E*/MeV   178Hg     179Hg     180Hg     181Hg     182Hg     183Hg     184Hg  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.286E-09 0.507E-05 0.000E+00 0.149E-05
    21.0 0.000E+00 0.000E+00 0.000E+00 0.526E-08 0.183E-04 0.000E+00 0.663E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.418E-07 0.509E-04 0.000E+00 0.228E-04
    23.0 0.000E+00 0.000E+00 0.000E+00 0.224E-06 0.112E-03 0.240E-09 0.636E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.943E-06 0.204E-03 0.620E-08 0.152E-03
    25.0 0.000E+00 0.000E+00 0.000E+00 0.336E-05 0.314E-03 0.614E-07 0.324E-03
    26.0 0.000E+00 0.000E+00 0.000E+00 0.106E-04 0.420E-03 0.348E-06 0.627E-03
    27.0 0.000E+00 0.000E+00 0.000E+00 0.295E-04 0.499E-03 0.139E-05 0.112E-02
    28.0 0.000E+00 0.000E+00 0.000E+00 0.738E-04 0.533E-03 0.444E-05 0.183E-02
    29.0 0.000E+00 0.000E+00 0.000E+00 0.165E-03 0.521E-03 0.122E-04 0.277E-02
    30.0 0.000E+00 0.000E+00 0.602E-09 0.331E-03 0.471E-03 0.309E-04 0.388E-02
    31.0 0.000E+00 0.000E+00 0.591E-08 0.601E-03 0.397E-03 0.731E-04 0.503E-02
    32.0 0.000E+00 0.000E+00 0.353E-07 0.993E-03 0.315E-03 0.162E-03 0.603E-02
    33.0 0.000E+00 0.000E+00 0.157E-06 0.150E-02 0.237E-03 0.335E-03 0.672E-02
    34.0 0.000E+00 0.000E+00 0.567E-06 0.206E-02 0.169E-03 0.641E-03 0.699E-02
    35.0 0.000E+00 0.000E+00 0.176E-05 0.260E-02 0.116E-03 0.113E-02 0.682E-02
    36.0 0.000E+00 0.000E+00 0.480E-05 0.299E-02 0.767E-04 0.186E-02 0.627E-02
    37.0 0.000E+00 0.000E+00 0.117E-04 0.315E-02 0.491E-04 0.284E-02 0.546E-02
    38.0 0.000E+00 0.000E+00 0.255E-04 0.307E-02 0.313E-04 0.407E-02 0.454E-02
    39.0 0.000E+00 0.000E+00 0.507E-04 0.278E-02 0.214E-04 0.549E-02 0.361E-02
    40.0 0.000E+00 0.000E+00 0.920E-04 0.237E-02 0.187E-04 0.701E-02 0.277E-02
    41.0 0.000E+00 0.000E+00 0.154E-03 0.191E-02 0.244E-04 0.845E-02 0.205E-02
    42.0 0.000E+00 0.000E+00 0.239E-03 0.148E-02 0.415E-04 0.967E-02 0.148E-02
    43.0 0.000E+00 0.192E-08 0.344E-03 0.110E-02 0.761E-04 0.105E-01 0.104E-02
    44.0 0.000E+00 0.820E-08 0.463E-03 0.790E-03 0.136E-03 0.108E-01 0.713E-03
    45.0 0.000E+00 0.296E-07 0.582E-03 0.553E-03 0.233E-03 0.107E-01 0.481E-03
    46.0 0.000E+00 0.946E-07 0.682E-03 0.378E-03 0.377E-03 0.101E-01 0.319E-03
    47.0 0.000E+00 0.273E-06 0.750E-03 0.253E-03 0.577E-03 0.916E-02 0.209E-03
