  E*/MeV   193Rn     194Rn     195Rn     196Rn     197Rn     198Rn     199Rn  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.114E-03 0.176E-03
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.273E-03 0.203E-03
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.563E-03 0.212E-03
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.376E-09 0.101E-02 0.204E-03
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.901E-08 0.156E-02 0.183E-03
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.104E-06 0.211E-02 0.154E-03
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.744E-06 0.253E-02 0.122E-03
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.372E-05 0.273E-02 0.919E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.139E-04 0.269E-02 0.662E-04
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.415E-04 0.246E-02 0.457E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.103E-03 0.210E-02 0.305E-04
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.219E-03 0.170E-02 0.196E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.410E-03 0.131E-02 0.123E-04
    37.0 0.000E+00 0.000E+00 0.000E+00 0.483E-09 0.687E-03 0.964E-03 0.748E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.620E-08 0.104E-02 0.684E-03 0.444E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.490E-07 0.141E-02 0.469E-03 0.256E-05
    40.0 0.000E+00 0.000E+00 0.000E+00 0.270E-06 0.173E-02 0.312E-03 0.143E-05
    41.0 0.000E+00 0.000E+00 0.000E+00 0.112E-05 0.195E-02 0.202E-03 0.773E-06
    42.0 0.000E+00 0.000E+00 0.000E+00 0.369E-05 0.202E-02 0.128E-03 0.386E-06
    43.0 0.000E+00 0.000E+00 0.000E+00 0.100E-04 0.195E-02 0.794E-04 0.164E-06
    44.0 0.000E+00 0.000E+00 0.000E+00 0.231E-04 0.176E-02 0.484E-04 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.462E-04 0.151E-02 0.291E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.816E-04 0.124E-02 0.173E-04 0.000E+00
    47.0 0.000E+00 0.000E+00 0.000E+00 0.128E-03 0.974E-03 0.102E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.000E+00 0.182E-03 0.743E-03 0.589E-05 0.000E+00
    49.0 0.000E+00 0.000E+00 0.107E-09 0.234E-03 0.551E-03 0.337E-05 0.000E+00
    50.0 0.000E+00 0.000E+00 0.749E-09 0.276E-03 0.399E-03 0.191E-05 0.000E+00
    51.0 0.000E+00 0.000E+00 0.398E-08 0.302E-03 0.283E-03 0.106E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.168E-07 0.309E-03 0.197E-03 0.575E-06 0.000E+00
    53.0 0.000E+00 0.000E+00 0.586E-07 0.299E-03 0.136E-03 0.300E-06 0.000E+00
    54.0 0.000E+00 0.000E+00 0.173E-06 0.275E-03 0.921E-04 0.141E-06 0.000E+00
    55.0 0.000E+00 0.000E+00 0.444E-06 0.242E-03 0.619E-04 0.811E-08 0.000E+00
    56.0 0.000E+00 0.000E+00 0.100E-05 0.206E-03 0.412E-04 0.000E+00 0.000E+00
    57.0 0.000E+00 0.000E+00 0.203E-05 0.170E-03 0.272E-04 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.373E-05 0.136E-03 0.178E-04 0.000E+00 0.000E+00
    59.0 0.000E+00 0.000E+00 0.623E-05 0.106E-03 0.116E-04 0.000E+00 0.000E+00
    60.0 0.000E+00 0.215E-10 0.955E-05 0.816E-04 0.750E-05 0.000E+00 0.000E+00
    61.0 0.000E+00 0.115E-09 0.135E-04 0.615E-04 0.482E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.505E-09 0.178E-04 0.456E-04 0.308E-05 0.000E+00 0.000E+00
    63.0 0.000E+00 0.186E-08 0.219E-04 0.334E-04 0.196E-05 0.000E+00 0.000E+00
    64.0 0.000E+00 0.589E-08 0.254E-04 0.241E-04 0.124E-05 0.000E+00 0.000E+00
    65.0 0.000E+00 0.162E-07 0.279E-04 0.172E-04 0.776E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.394E-07 0.292E-04 0.122E-04 0.484E-06 0.000E+00 0.000E+00
    67.0 0.000E+00 0.852E-07 0.293E-04 0.858E-05 0.298E-06 0.000E+00 0.000E+00
    
    
  E*/MeV   192At     193At     194At     195At     196At     197At     198At  
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.209E-10 0.419E-09 0.600E-12
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.137E-09 0.836E-09 0.939E-12
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.469E-07 0.591E-06 0.477E-08
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.291E-06 0.154E-05 0.118E-07
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.153E-05 0.335E-05 0.215E-07
    37.0 0.000E+00 0.000E+00 0.000E+00 0.608E-11 0.728E-05 0.701E-05 0.372E-07
    38.0 0.000E+00 0.000E+00 0.000E+00 0.225E-09 0.314E-04 0.143E-04 0.630E-07
    39.0 0.000E+00 0.000E+00 0.000E+00 0.505E-08 0.119E-03 0.277E-04 0.103E-06
    40.0 0.000E+00 0.000E+00 0.000E+00 0.716E-07 0.377E-03 0.489E-04 0.155E-06
    41.0 0.000E+00 0.000E+00 0.000E+00 0.610E-06 0.887E-03 0.707E-04 0.191E-06
    42.0 0.000E+00 0.000E+00 0.000E+00 0.304E-05 0.145E-02 0.770E-04 0.170E-06
    43.0 0.000E+00 0.000E+00 0.000E+00 0.984E-05 0.177E-02 0.648E-04 0.106E-06
    44.0 0.000E+00 0.000E+00 0.000E+00 0.239E-04 0.176E-02 0.459E-04 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.482E-04 0.156E-02 0.293E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.844E-04 0.128E-02 0.178E-04 0.000E+00
    47.0 0.000E+00 0.000E+00 0.000E+00 0.132E-03 0.100E-02 0.104E-04 0.000E+00

    
  E*/MeV   191Po     192Po     193Po     194Po     195Po     196Po     197Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.116E-07 0.305E-05 0.000E+00 0.410E-06
    21.0 0.000E+00 0.000E+00 0.000E+00 0.952E-07 0.102E-04 0.000E+00 0.175E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.536E-06 0.248E-04 0.633E-10 0.554E-05
    23.0 0.000E+00 0.000E+00 0.000E+00 0.234E-05 0.478E-04 0.104E-08 0.146E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.831E-05 0.768E-04 0.101E-07 0.336E-04
    25.0 0.000E+00 0.000E+00 0.000E+00 0.247E-04 0.106E-03 0.686E-07 0.696E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.633E-04 0.130E-03 0.358E-06 0.133E-03
    27.0 0.000E+00 0.000E+00 0.000E+00 0.142E-03 0.143E-03 0.153E-05 0.236E-03
    28.0 0.000E+00 0.000E+00 0.534E-09 0.278E-03 0.146E-03 0.549E-05 0.393E-03
    29.0 0.000E+00 0.000E+00 0.573E-08 0.480E-03 0.138E-03 0.169E-04 0.609E-03
    30.0 0.000E+00 0.000E+00 0.381E-07 0.726E-03 0.121E-03 0.451E-04 0.876E-03
    31.0 0.000E+00 0.000E+00 0.188E-06 0.970E-03 0.101E-03 0.107E-03 0.117E-02
    32.0 0.000E+00 0.000E+00 0.753E-06 0.116E-02 0.790E-04 0.225E-03 0.146E-02
    33.0 0.000E+00 0.000E+00 0.254E-05 0.125E-02 0.591E-04 0.430E-03 0.169E-02
    34.0 0.000E+00 0.000E+00 0.744E-05 0.124E-02 0.423E-04 0.752E-03 0.183E-02
    35.0 0.000E+00 0.000E+00 0.191E-04 0.113E-02 0.291E-04 0.121E-02 0.185E-02
    36.0 0.000E+00 0.000E+00 0.434E-04 0.973E-03 0.195E-04 0.181E-02 0.177E-02
    37.0 0.000E+00 0.000E+00 0.880E-04 0.789E-03 0.130E-04 0.253E-02 0.160E-02
    38.0 0.000E+00 0.000E+00 0.161E-03 0.610E-03 0.947E-05 0.329E-02 0.138E-02
    39.0 0.000E+00 0.237E-08 0.267E-03 0.452E-03 0.932E-05 0.400E-02 0.113E-02
    40.0 0.000E+00 0.128E-07 0.403E-03 0.322E-03 0.140E-04 0.457E-02 0.887E-03
    41.0 0.000E+00 0.549E-07 0.553E-03 0.222E-03 0.263E-04 0.492E-02 0.672E-03
    42.0 0.000E+00 0.196E-06 0.695E-03 0.149E-03 0.508E-04 0.500E-02 0.492E-03
    43.0 0.000E+00 0.604E-06 0.801E-03 0.973E-04 0.935E-04 0.482E-02 0.350E-03
    44.0 0.000E+00 0.163E-05 0.852E-03 0.622E-04 0.161E-03 0.443E-02 0.242E-03
    45.0 0.000E+00 0.390E-05 0.845E-03 0.391E-04 0.259E-03 0.390E-02 0.164E-03
    46.0 0.000E+00 0.836E-05 0.787E-03 0.242E-04 0.393E-03 0.330E-02 0.109E-03
    47.0 0.000E+00 0.161E-04 0.695E-03 0.148E-04 0.563E-03 0.270E-02 0.709E-04
    48.0 0.000E+00 0.281E-04 0.586E-03 0.908E-05 0.767E-03 0.214E-02 0.455E-04
    49.0 0.000E+00 0.443E-04 0.476E-03 0.584E-05 0.996E-03 0.165E-02 0.289E-04
    50.0 0.000E+00 0.638E-04 0.373E-03 0.454E-05 0.123E-02 0.124E-02 0.181E-04
    51.0 0.207E-09 0.841E-04 0.285E-03 0.518E-05 0.146E-02 0.918E-03 0.112E-04
    52.0 0.946E-09 0.102E-03 0.212E-03 0.841E-05 0.166E-02 0.666E-03 0.692E-05
    53.0 0.362E-08 0.115E-03 0.155E-03 0.155E-04 0.180E-02 0.475E-03 0.423E-05
    54.0 0.120E-07 0.122E-03 0.111E-03 0.284E-04 0.189E-02 0.335E-03 0.256E-05
    55.0 0.353E-07 0.122E-03 0.781E-04 0.492E-04 0.190E-02 0.233E-03 0.154E-05
    56.0 0.930E-07 0.116E-03 0.543E-04 0.803E-04 0.185E-02 0.160E-03 0.923E-06
    57.0 0.221E-06 0.105E-03 0.374E-04 0.123E-03 0.175E-02 0.109E-03 0.548E-06
    58.0 0.476E-06 0.919E-04 0.254E-04 0.178E-03 0.160E-02 0.738E-04 0.322E-06
    59.0 0.938E-06 0.779E-04 0.172E-04 0.242E-03 0.142E-02 0.495E-04 0.188E-06
    60.0 0.170E-05 0.641E-04 0.115E-04 0.313E-03 0.123E-02 0.329E-04 0.107E-06
    61.0 0.282E-05 0.515E-04 0.771E-05 0.384E-03 0.104E-02 0.218E-04 0.594E-07
    62.0 0.435E-05 0.405E-04 0.521E-05 0.450E-03 0.864E-03 0.143E-04 0.317E-07
    63.0 0.621E-05 0.312E-04 0.366E-05 0.504E-03 0.703E-03 0.936E-05 0.141E-07
    64.0 0.828E-05 0.237E-04 0.287E-05 0.541E-03 0.562E-03 0.607E-05 0.000E+00
    65.0 0.104E-04 0.177E-04 0.275E-05 0.560E-03 0.442E-03 0.392E-05 0.000E+00
    66.0 0.122E-04 0.130E-04 0.336E-05 0.559E-03 0.343E-03 0.251E-05 0.000E+00
    67.0 0.137E-04 0.952E-05 0.481E-05 0.541E-03 0.262E-03 0.160E-05 0.000E+00
    
    
  E*/MeV   191Po     192Po     193Po     194Po     195Po     196Po     197Po  
    32.0 0.000E+00 0.000E+00 0.863E-12 0.159E-09 0.520E-12 0.259E-09 0.308E-09
    33.0 0.000E+00 0.000E+00 0.717E-11 0.352E-09 0.863E-12 0.112E-08 0.759E-09
    34.0 0.000E+00 0.000E+00 0.327E-08 0.324E-06 0.577E-08 0.325E-06 0.536E-06
    35.0 0.000E+00 0.000E+00 0.247E-07 0.971E-06 0.158E-07 0.154E-05 0.173E-05
    36.0 0.000E+00 0.000E+00 0.156E-06 0.235E-05 0.314E-07 0.646E-05 0.463E-05
    37.0 0.000E+00 0.000E+00 0.899E-06 0.536E-05 0.638E-07 0.256E-04 0.118E-04
    38.0 0.000E+00 0.130E-10 0.469E-05 0.118E-04 0.169E-06 0.953E-04 0.286E-04
    39.0 0.000E+00 0.263E-09 0.218E-04 0.245E-04 0.689E-06 0.326E-03 0.658E-04
    40.0 0.000E+00 0.352E-08 0.843E-04 0.461E-04 0.341E-05 0.962E-03 0.136E-03
    41.0 0.000E+00 0.299E-07 0.244E-03 0.711E-04 0.141E-04 0.219E-02 0.227E-03
    42.0 0.000E+00 0.160E-06 0.491E-03 0.834E-04 0.417E-04 0.357E-02 0.287E-03
    43.0 0.000E+00 0.588E-06 0.720E-03 0.759E-04 0.916E-04 0.436E-02 0.280E-03
    44.0 0.000E+00 0.168E-05 0.849E-03 0.576E-04 0.167E-03 0.443E-02 0.227E-03
    45.0 0.000E+00 0.407E-05 0.870E-03 0.390E-04 0.270E-03 0.402E-02 0.165E-03
    46.0 0.000E+00 0.866E-05 0.815E-03 0.248E-04 0.407E-03 0.342E-02 0.112E-03
    47.0 0.000E+00 0.165E-04 0.716E-03 0.152E-04 0.577E-03 0.277E-02 0.731E-04
