E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
281.136	61	0.00E+00	1.27E-06	7.22E-06	7.44E-07	0.00E+00	0.00E+00	0.00E+00
282.533	62	0.00E+00	1.84E-06	5.18E-06	4.60E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63	2.50E-12	2.42E-06	3.68E-06	2.84E-07	0.00E+00	0.00E+00	0.00E+00
285.327	64	1.84E-11	2.92E-06	2.58E-06	1.73E-07	0.00E+00	0.00E+00	0.00E+00
286.725	65	9.93E-11	3.28E-06	1.79E-06	1.01E-07	0.00E+00	0.00E+00	0.00E+00
288.122	66	4.11E-10	3.48E-06	1.24E-06	5.62E-08	0.00E+00	0.00E+00	0.00E+00
289.519	67	1.36E-09	3.50E-06	8.47E-07	2.94E-08	0.00E+00	0.00E+00	0.00E+00
290.916	68	3.69E-09	3.36E-06	5.76E-07	8.17E-09	0.00E+00	0.00E+00	0.00E+00
292.313	69	8.42E-09	3.11E-06	3.90E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
293.71	70	1.65E-08	2.79E-06	2.62E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.108	71	2.85E-08	2.43E-06	1.76E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.505	72	4.41E-08	2.06E-06	1.17E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.902	73	6.19E-08	1.72E-06	7.79E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.299	74	8.04E-08	1.40E-06	5.13E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.696	75	9.75E-08	1.12E-06	3.33E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.093	76	1.12E-07	8.88E-07	2.13E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.491	77	1.21E-07	6.92E-07	1.32E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.888	78	1.26E-07	5.34E-07	7.70E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.285	79	1.27E-07	4.07E-07	3.62E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.682	80	1.23E-07	3.07E-07	1.46E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.67	BF=0.67	195At	196At	197At
223.852	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.52E-10	1.26E-06	4.61E-10
225.249	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.06E-08	3.65E-06	7.71E-10
226.647	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.58E-07	9.89E-06	1.03E-09
228.044	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.29E-06	2.51E-05	0.00E+00
229.441	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.68E-05	5.62E-05	0.00E+00
230.838	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.43E-04	1.01E-04	0.00E+00
232.235	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.01E-04	1.39E-04	0.00E+00
