  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.155E-04 0.312E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.832E-04 0.547E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.279E-03 0.735E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.606E-03 0.800E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.956E-03 0.749E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.121E-02 0.629E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.130E-02 0.487E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.105E-07 0.125E-02 0.352E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.266E-06 0.109E-02 0.241E-04 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.253E-05 0.883E-03 0.157E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.126E-04 0.671E-03 0.977E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.407E-04 0.482E-03 0.573E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.101E-03 0.330E-03 0.314E-05 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.206E-03 0.217E-03 0.161E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.350E-03 0.137E-03 0.376E-06 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.494E-03 0.842E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.778E-10 0.591E-03 0.503E-04 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.208E-08 0.618E-03 0.295E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.228E-07 0.582E-03 0.170E-04 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.142E-06 0.504E-03 0.964E-05 0.000E+00 0.000E+00
