  E*/MeV   191At     192At     193At     BF=0.57     BF=0.57     196At     197At  
    51.0 0.000E+00 0.000E+00 0.580E-05 0.100E-04 0.000E+00 0.000E+00 0.000E+00
    
    
  E*/MeV   191At     192At     193At     BF=0.60     BF=0.60     196At     197At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.333E-10 0.327E-06 0.284E-10
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.248E-08 0.862E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.640E-07 0.217E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.863E-06 0.518E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.740E-05 0.111E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.406E-04 0.194E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.134E-03 0.261E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.276E-03 0.285E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.415E-03 0.266E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.505E-03 0.224E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.529E-03 0.173E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.387E-08 0.494E-03 0.125E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.101E-06 0.422E-03 0.857E-05 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.978E-06 0.336E-03 0.557E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.498E-05 0.251E-03 0.344E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.165E-04 0.178E-03 0.195E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.418E-04 0.121E-03 0.966E-06 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.866E-04 0.785E-04 0.964E-07 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.147E-03 0.493E-04 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.205E-03 0.301E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.240E-03 0.179E-04 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.636E-09 0.247E-03 0.104E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.716E-08 0.228E-03 0.597E-05 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.457E-07 0.195E-03 0.337E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.194E-06 0.156E-03 0.188E-05 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.602E-06 0.119E-03 0.103E-05 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.145E-05 0.875E-04 0.550E-06 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.279E-05 0.622E-04 0.274E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.441E-05 0.431E-04 0.103E-06 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.594E-05 0.293E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.702E-05 0.196E-04 0.000E+00 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.750E-05 0.129E-04 0.000E+00 0.000E+00 0.000E+00
    

  E*/MeV   191At     192At     193At     BF=0.69     BF=0.69     196At     197At 
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.234E-09 0.169E-05 0.909E-09
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.160E-07 0.508E-05 0.161E-08
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.383E-06 0.142E-04 0.260E-08
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.481E-05 0.369E-04 0.296E-08
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.386E-04 0.845E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.206E-03 0.155E-03 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.747E-03 0.217E-03 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-02 0.245E-03 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.319E-02 0.236E-03 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.425E-02 0.203E-03 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.477E-02 0.161E-03 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.364E-07 0.470E-02 0.119E-03 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.889E-06 0.420E-02 0.826E-04 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.821E-05 0.347E-02 0.545E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.397E-04 0.268E-02 0.344E-04 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.124E-03 0.195E-02 0.208E-04 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.300E-03 0.136E-02 0.120E-04 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.609E-03 0.899E-03 0.665E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.107E-02 0.575E-03 0.346E-05 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.160E-02 0.356E-03 0.147E-05 0.000E+00
    40.0 0.000E+00 0.000E+00 0.347E-09 0.204E-02 0.215E-03 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.894E-08 0.224E-02 0.127E-03 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.953E-07 0.219E-02 0.733E-04 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.578E-06 0.196E-02 0.419E-04 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.234E-05 0.163E-02 0.237E-04 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.703E-05 0.128E-02 0.132E-04 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.170E-04 0.969E-03 0.734E-05 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.344E-04 0.706E-03 0.404E-05 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.584E-04 0.501E-03 0.218E-05 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.845E-04 0.347E-03 0.112E-05 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.106E-03 0.236E-03 0.556E-06 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.119E-03 0.158E-03 0.198E-06 0.000E+00 0.000E+00


    
    24 130E-6 50E-6
    28 260E-6 80E-6
    34 130E-6 30E-6
    40 38E-6 10E-6
    50 2.7E-6 1.3E-6
