     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   28.0  0.136E-02 0.178E-02 0.234E-03
   30.0  0.334E-02 0.291E-02 0.256E-03
   32.0  0.620E-02 0.308E-02 0.182E-03
   34.0  0.860E-02 0.254E-02 0.984E-04
   36.0  0.947E-02 0.204E-02 0.516E-04
   38.0  0.945E-02 0.168E-02 0.568E-04
   40.0  0.955E-02 0.126E-02 0.862E-04
   42.0  0.976E-02 0.813E-03 0.883E-04
   44.0  0.940E-02 0.464E-03 0.646E-04
   46.0  0.844E-02 0.257E-03 0.384E-04
   48.0  0.736E-02 0.168E-03 0.207E-04
   50.0  0.655E-02 0.143E-03 0.114E-04

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    20.0     84.14      0.80    193.24      1.28
    22.0     83.75      0.77    192.62      1.37
    24.0     83.63      0.66    192.45      1.15
    26.0     83.70      0.62    192.56      0.98
    28.0     83.67      0.60    192.56      1.01
    30.0     83.53      0.57    192.37      1.19
    32.0     83.36      0.52    192.06      1.36
    34.0     83.24      0.45    191.77      1.41
    36.0     83.19      0.40    191.59      1.36
    38.0     83.16      0.38    191.50      1.29
    40.0     83.13      0.36    191.41      1.26
    42.0     83.09      0.32    191.32      1.28
    44.0     83.06      0.26    191.25      1.27
    46.0     83.04      0.21    191.21      1.22
    48.0     83.03      0.18    191.18      1.10
    50.0     83.02      0.17    191.14      0.95

 HIVAP  CASOUT

   51V + 144Sm ---> 195At IFUS10 barfac0.64 24/01/2022 10:19 (Sitarcik) 


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   247.381    4.85    52.0  0.3867E+03  0.6121E-02  0.3851E+03    66.0       99.59
   250.089    4.90    54.0  0.3957E+03  0.5506E-02  0.3945E+03    66.0       99.70
   252.797    4.96    56.0  0.3994E+03  0.4700E-02  0.3986E+03    66.0       99.80
   255.506    5.01    58.0  0.3994E+03  0.3756E-02  0.3989E+03    66.0       99.87
   258.214    5.06    60.0  0.3972E+03  0.2849E-02  0.3968E+03    66.0       99.90
   260.922    5.12    62.0  0.3939E+03  0.2121E-02  0.3935E+03    66.0       99.90
   263.631    5.17    64.0  0.3901E+03  0.1614E-02  0.3897E+03    66.0       99.90
   266.339    5.22    66.0  0.3861E+03  0.1284E-02  0.3857E+03    66.0       99.89
   269.047    5.28    68.0  0.3823E+03  0.1059E-02  0.3818E+03    66.0       99.88
   271.756    5.33    70.0  0.3784E+03  0.8838E-03  0.3779E+03    66.0       99.86

     Querschnitte / mbarn

  E*/MeV   189At     190At     191At     192At     193At     194At     195At  
    52.0 0.000E+00 0.000E+00 0.264E-05 0.417E-05 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.579E-11 0.245E-05 0.178E-05 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.273E-09 0.184E-05 0.736E-06 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.355E-08 0.120E-05 0.298E-06 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.208E-07 0.702E-06 0.118E-06 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.670E-07 0.382E-06 0.455E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.134E-06 0.197E-06 0.157E-07 0.000E+00 0.000E+00 0.000E+00
    66.0 0.131E-11 0.190E-06 0.974E-07 0.181E-08 0.000E+00 0.000E+00 0.000E+00
    68.0 0.263E-10 0.210E-06 0.466E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
