     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   221.143    4.61    26.0  0.7703E+02  0.7521E-04  0.7703E+02    56.0      100.00
   222.372    4.63    27.0  0.9426E+02  0.5043E-04  0.9426E+02    56.0      100.00
   223.602    4.66    28.0  0.1125E+03  0.4358E-04  0.1125E+03    56.0      100.00
   224.832    4.68    29.0  0.1311E+03  0.4745E-04  0.1311E+03    56.0      100.00
   226.061    4.71    30.0  0.1497E+03  0.5316E-04  0.1497E+03    56.0      100.00
   227.291    4.74    31.0  0.1678E+03  0.5353E-04  0.1678E+03    56.0      100.00
   228.521    4.76    32.0  0.1849E+03  0.4754E-04  0.1849E+03    56.0      100.00
   229.750    4.79    33.0  0.2005E+03  0.3804E-04  0.2005E+03    56.0      100.00
   230.980    4.81    34.0  0.2145E+03  0.2820E-04  0.2145E+03    56.0      100.00
   232.210    4.84    35.0  0.2267E+03  0.1999E-04  0.2267E+03    56.0      100.00
   233.439    4.86    36.0  0.2369E+03  0.1399E-04  0.2369E+03    56.0      100.00
   234.669    4.89    37.0  0.2453E+03  0.9946E-05  0.2453E+03    56.0      100.00
   235.899    4.91    38.0  0.2518E+03  0.7290E-05  0.2518E+03    56.0      100.00
   237.128    4.94    39.0  0.2568E+03  0.5470E-05  0.2568E+03    56.0      100.00
   238.358    4.97    40.0  0.2603E+03  0.4133E-05  0.2603E+03    56.0      100.00
   239.588    4.99    41.0  0.2626E+03  0.3100E-05  0.2626E+03    56.0      100.00

     Querschnitte / mbarn

  E*/MeV   251Lr     252Lr     253Lr     254Lr     255Lr     256Lr     257Lr  
    26.0 0.000E+00 0.000E+00 0.000E+00 0.467E-05 0.685E-04 0.609E-06 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.115E-04 0.370E-04 0.222E-06 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.223E-04 0.193E-04 0.545E-08 0.000E+00
    29.0 0.000E+00 0.000E+00 0.279E-10 0.356E-04 0.977E-05 0.000E+00 0.000E+00
    30.0 0.000E+00 0.000E+00 0.598E-09 0.464E-04 0.484E-05 0.000E+00 0.000E+00
    31.0 0.000E+00 0.000E+00 0.565E-08 0.495E-04 0.235E-05 0.000E+00 0.000E+00
    32.0 0.000E+00 0.000E+00 0.315E-07 0.450E-04 0.113E-05 0.000E+00 0.000E+00
    33.0 0.000E+00 0.000E+00 0.119E-06 0.362E-04 0.538E-06 0.000E+00 0.000E+00
    34.0 0.000E+00 0.000E+00 0.328E-06 0.267E-04 0.252E-06 0.000E+00 0.000E+00
    35.0 0.000E+00 0.000E+00 0.708E-06 0.183E-04 0.116E-06 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.124E-05 0.120E-04 0.498E-07 0.000E+00 0.000E+00
    37.0 0.000E+00 0.000E+00 0.179E-05 0.753E-05 0.894E-08 0.000E+00 0.000E+00
    38.0 0.000E+00 0.586E-12 0.218E-05 0.459E-05 0.000E+00 0.000E+00 0.000E+00
    39.0 0.000E+00 0.804E-11 0.231E-05 0.273E-05 0.000E+00 0.000E+00 0.000E+00
    40.0 0.000E+00 0.657E-10 0.220E-05 0.160E-05 0.000E+00 0.000E+00 0.000E+00
    41.0 0.000E+00 0.359E-09 0.193E-05 0.925E-06 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   250No     251No     252No     253No     254No     255No     256No  
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.419E-09 0.528E-06 0.315E-08
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-08 0.553E-06 0.155E-08
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.593E-08 0.499E-06 0.722E-09
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E-07 0.398E-06 0.283E-09
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.325E-07 0.287E-06 0.366E-10
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.567E-07 0.191E-06 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.117E-12 0.830E-07 0.119E-06 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.174E-11 0.104E-06 0.712E-07 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.107E-10 0.113E-06 0.410E-07 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.484E-10 0.109E-06 0.229E-07 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.174E-09 0.950E-07 0.126E-07 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.510E-09 0.762E-07 0.677E-08 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.126E-08 0.572E-07 0.361E-08 0.000E+00
    39.0 0.000E+00 0.000E+00 0.500E-14 0.266E-08 0.406E-07 0.191E-08 0.000E+00
    40.0 0.000E+00 0.000E+00 0.461E-13 0.486E-08 0.276E-07 0.997E-09 0.000E+00
    41.0 0.000E+00 0.000E+00 0.304E-12 0.778E-08 0.182E-07 0.508E-09 0.000E+00

  E*/MeV   249Md     250Md     251Md     252Md     253Md     254Md     255Md  
    26.0 0.000E+00 0.000E+00 0.523E-09 0.765E-06 0.878E-07 0.000E+00 0.686E-11
    27.0 0.000E+00 0.000E+00 0.217E-08 0.111E-05 0.471E-07 0.287E-16 0.169E-10
    28.0 0.000E+00 0.000E+00 0.688E-08 0.142E-05 0.244E-07 0.108E-14 0.355E-10
    29.0 0.000E+00 0.000E+00 0.180E-07 0.160E-05 0.122E-07 0.975E-14 0.646E-10
    30.0 0.000E+00 0.000E+00 0.400E-07 0.157E-05 0.599E-08 0.597E-13 0.103E-09
    31.0 0.000E+00 0.000E+00 0.780E-07 0.137E-05 0.287E-08 0.278E-12 0.144E-09
    32.0 0.000E+00 0.000E+00 0.135E-06 0.107E-05 0.133E-08 0.104E-11 0.179E-09
    33.0 0.000E+00 0.951E-12 0.210E-06 0.758E-06 0.590E-09 0.329E-11 0.199E-09
    34.0 0.000E+00 0.768E-11 0.294E-06 0.502E-06 0.117E-09 0.895E-11 0.200E-09
    35.0 0.000E+00 0.385E-10 0.369E-06 0.315E-06 0.000E+00 0.214E-10 0.184E-09
    36.0 0.000E+00 0.143E-09 0.417E-06 0.190E-06 0.000E+00 0.455E-10 0.157E-09
    37.0 0.000E+00 0.432E-09 0.426E-06 0.111E-06 0.000E+00 0.869E-10 0.124E-09
    38.0 0.000E+00 0.113E-08 0.396E-06 0.630E-07 0.000E+00 0.150E-09 0.931E-10
    39.0 0.000E+00 0.261E-08 0.338E-06 0.353E-07 0.000E+00 0.235E-09 0.662E-10
    40.0 0.429E-13 0.541E-08 0.269E-06 0.195E-07 0.000E+00 0.336E-09 0.452E-10
    41.0 0.314E-12 0.102E-07 0.202E-06 0.106E-07 0.000E+00 0.439E-09 0.298E-10

 Z-Verteilung  
 E*/MeV     Md         No         Lr  
   26.0  0.854E-06 0.531E-06 0.738E-04
   27.0  0.116E-05 0.556E-06 0.487E-04
   28.0  0.145E-05 0.506E-06 0.416E-04
   29.0  0.163E-05 0.414E-06 0.454E-04
   30.0  0.162E-05 0.319E-06 0.512E-04
   31.0  0.145E-05 0.248E-06 0.518E-04
   32.0  0.120E-05 0.202E-06 0.461E-04
   33.0  0.969E-06 0.175E-06 0.369E-04
   34.0  0.797E-06 0.154E-06 0.273E-04
   35.0  0.685E-06 0.132E-06 0.192E-04
   36.0  0.608E-06 0.108E-06 0.133E-04
   37.0  0.537E-06 0.835E-07 0.932E-05
   38.0  0.460E-06 0.620E-07 0.677E-05
   39.0  0.376E-06 0.452E-07 0.505E-05
   40.0  0.294E-06 0.335E-07 0.381E-05
   41.0  0.223E-06 0.265E-07 0.285E-05

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    26.0    102.97      0.23    254.91      0.40
    27.0    102.94      0.32    254.71      0.59
    28.0    102.92      0.37    254.39      0.66
    29.0    102.92      0.37    254.15      0.58
    30.0    102.93      0.35    254.03      0.47
    31.0    102.94      0.33    253.99      0.40
    32.0    102.95      0.32    253.97      0.38
    33.0    102.94      0.32    253.96      0.38
    34.0    102.94      0.34    253.93      0.43
    35.0    102.92      0.37    253.88      0.51
    36.0    102.91      0.42    253.80      0.61
    37.0    102.88      0.46    253.67      0.71
    38.0    102.87      0.49    253.52      0.77
    39.0    102.85      0.51    253.38      0.79
    40.0    102.85      0.52    253.26      0.78
    41.0    102.85      0.52    253.16      0.76

 HIVAP  CASOUT

   48Ca + 209Bi ---> 257Lr IFUS10 barfac1.0 01/06/2022 17:14 (Sitarcik) 


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   240.817    5.02    42.0  0.2640E+03  0.2292E-05  0.2640E+03    56.0      100.00
   242.047    5.04    43.0  0.2645E+03  0.1669E-05  0.2645E+03    56.0      100.00
   243.277    5.07    44.0  0.2645E+03  0.1205E-05  0.2645E+03    56.0      100.00
   244.506    5.09    45.0  0.2641E+03  0.8719E-06  0.2641E+03    56.0      100.00
   245.736    5.12    46.0  0.2633E+03  0.6433E-06  0.2633E+03    56.0      100.00
   246.966    5.15    47.0  0.2624E+03  0.4912E-06  0.2624E+03    56.0      100.00
   248.195    5.17    48.0  0.2612E+03  0.3909E-06  0.2612E+03    56.0      100.00
