E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
439.177	70.0	0.165E-01	0.122E+00	0.155E+00	0.368E+01	0.210E+01	0.484E-01	0.551E-04
441.133	71.0	0.199E-01	0.105E+00	0.211E+00	0.372E+01	0.172E+01	0.338E-01	0.335E-04
443.090	72.0	0.233E-01	0.889E-01	0.282E+00	0.369E+01	0.139E+01	0.234E-01	0.202E-04
445.046	73.0	0.262E-01	0.742E-01	0.368E+00	0.361E+01	0.106E+01	0.162E-01	0.120E-04
447.003	74.0	0.287E-01	0.611E-01	0.465E+00	0.346E+01	0.751E+00	0.111E-01	0.705E-05
448.959	75.0	0.305E-01	0.497E-01	0.572E+00	0.327E+01	0.520E+00	0.755E-02	0.408E-05
450.916	76.0	0.316E-01	0.399E-01	0.686E+00	0.304E+01	0.352E+00	0.512E-02	0.227E-05
452.872	77.0	0.319E-01	0.320E-01	0.801E+00	0.279E+01	0.236E+00	0.345E-02	0.121E-05
454.829	78.0	0.314E-01	0.257E-01	0.913E+00	0.252E+01	0.159E+00	0.231E-02	0.546E-06
456.785	79.0	0.303E-01	0.211E-01	0.102E+01	0.225E+01	0.108E+00	0.154E-02	0.117E-06
458.742	80.0	0.286E-01	0.182E-01	0.111E+01	0.198E+01	0.745E-01	0.102E-02	0.000E+00
460.698	81.0	0.274E-01	0.200E-01	0.117E+01	0.173E+01	0.558E-01	0.677E-03	0.000E+00
462.655	82.0	0.251E-01	0.209E-01	0.123E+01	0.148E+01	0.386E-01	0.445E-03	0.000E+00
464.611	83.0	0.227E-01	0.242E-01	0.126E+01	0.125E+01	0.270E-01	0.291E-03	0.000E+00
466.568	84.0	0.201E-01	0.301E-01	0.128E+01	0.105E+01	0.191E-01	0.190E-03	0.000E+00
468.524	85.0	0.176E-01	0.385E-01	0.127E+01	0.793E+00	0.138E-01	0.123E-03	0.000E+00
470.481	86.0	0.152E-01	0.497E-01	0.124E+01	0.544E+00	0.102E-01	0.792E-04	0.000E+00
472.437	87.0	0.147E-01	0.593E-01	0.119E+01	0.537E+00	0.769E-02	0.509E-04	0.000E+00
474.394	88.0	0.125E-01	0.739E-01	0.114E+01	0.435E+00	0.519E-02	0.324E-04	0.000E+00
476.350	89.0	0.105E-01	0.906E-01	0.108E+01	0.295E+00	0.375E-02	0.206E-04	0.000E+00
478.307	90.0	0.883E-02	0.109E+00	0.101E+01	0.195E+00	0.263E-02	0.127E-04	0.000E+00
