  E*/MeV   186At     187At     188At     189At     190At     191At     192At  
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.260E-06 0.396E-05 0.507E-07
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.146E-05 0.685E-05 0.545E-07
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.573E-05 0.935E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.145E-04 0.943E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.256E-04 0.742E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.380E-11 0.358E-04 0.501E-05 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.355E-10 0.427E-04 0.310E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.224E-09 0.454E-04 0.184E-05 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.109E-08 0.441E-04 0.106E-05 0.000E+00
    
    
      E*/MeV   184Bi     185Bi     186Bi     187Bi     188Bi     189Bi     190Bi  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.134E-05 0.150E-02 0.000E+00 0.181E-03
    21.0 0.000E+00 0.000E+00 0.000E+00 0.446E-05 0.159E-02 0.437E-09 0.321E-03
    22.0 0.000E+00 0.000E+00 0.000E+00 0.126E-04 0.152E-02 0.456E-08 0.528E-03
    23.0 0.000E+00 0.000E+00 0.000E+00 0.310E-04 0.133E-02 0.321E-07 0.814E-03
    24.0 0.000E+00 0.000E+00 0.000E+00 0.669E-04 0.107E-02 0.169E-06 0.117E-02
    25.0 0.000E+00 0.000E+00 0.000E+00 0.128E-03 0.815E-03 0.707E-06 0.156E-02
    26.0 0.000E+00 0.000E+00 0.000E+00 0.217E-03 0.586E-03 0.243E-05 0.195E-02
    27.0 0.000E+00 0.000E+00 0.000E+00 0.328E-03 0.403E-03 0.708E-05 0.224E-02
    28.0 0.000E+00 0.000E+00 0.000E+00 0.444E-03 0.266E-03 0.179E-04 0.241E-02
    29.0 0.000E+00 0.000E+00 0.894E-09 0.534E-03 0.171E-03 0.396E-04 0.241E-02
    30.0 0.000E+00 0.000E+00 0.636E-08 0.574E-03 0.106E-03 0.786E-04 0.226E-02
    31.0 0.000E+00 0.000E+00 0.293E-07 0.557E-03 0.644E-04 0.141E-03 0.200E-02
    32.0 0.000E+00 0.000E+00 0.106E-06 0.494E-03 0.382E-04 0.231E-03 0.167E-02
    33.0 0.000E+00 0.000E+00 0.322E-06 0.406E-03 0.223E-04 0.346E-03 0.134E-02
    34.0 0.000E+00 0.000E+00 0.851E-06 0.314E-03 0.127E-04 0.479E-03 0.102E-02
    35.0 0.000E+00 0.000E+00 0.199E-05 0.231E-03 0.709E-05 0.613E-03 0.757E-03
    36.0 0.000E+00 0.000E+00 0.415E-05 0.162E-03 0.389E-05 0.729E-03 0.542E-03
    37.0 0.000E+00 0.000E+00 0.779E-05 0.111E-03 0.214E-05 0.809E-03 0.377E-03
    38.0 0.000E+00 0.000E+00 0.133E-04 0.732E-04 0.131E-05 0.842E-03 0.256E-03
    39.0 0.000E+00 0.000E+00 0.206E-04 0.473E-04 0.113E-05 0.826E-03 0.171E-03
    40.0 0.000E+00 0.850E-10 0.294E-04 0.299E-04 0.162E-05 0.768E-03 0.111E-03
    41.0 0.000E+00 0.435E-09 0.386E-04 0.187E-04 0.298E-05 0.681E-03 0.717E-04
    42.0 0.000E+00 0.177E-08 0.465E-04 0.115E-04 0.560E-05 0.579E-03 0.455E-04
    43.0 0.000E+00 0.604E-08 0.518E-04 0.697E-05 0.937E-05 0.474E-03 0.286E-04
    44.0 0.000E+00 0.180E-07 0.535E-04 0.420E-05 0.161E-04 0.376E-03 0.177E-04
    45.0 0.000E+00 0.473E-07 0.518E-04 0.251E-05 0.258E-04 0.290E-03 0.109E-04
    46.0 0.000E+00 0.111E-06 0.472E-04 0.149E-05 0.388E-04 0.218E-03 0.668E-05
    47.0 0.000E+00 0.235E-06 0.410E-04 0.880E-06 0.548E-04 0.160E-03 0.405E-05
    48.0 0.000E+00 0.451E-06 0.341E-04 0.521E-06 0.728E-04 0.116E-03 0.244E-05
    49.0 0.000E+00 0.787E-06 0.274E-04 0.315E-06 0.915E-04 0.822E-04 0.146E-05
    50.0 0.000E+00 0.125E-05 0.213E-04 0.212E-06 0.109E-03 0.576E-04 0.872E-06
    51.0 0.000E+00 0.183E-05 0.161E-04 0.193E-06 0.123E-03 0.398E-04 0.513E-06
    52.0 0.000E+00 0.245E-05 0.119E-04 0.266E-06 0.133E-03 0.272E-04 0.298E-06
    53.0 0.000E+00 0.303E-05 0.868E-05 0.472E-06 0.137E-03 0.185E-04 0.171E-06
    54.0 0.165E-10 0.349E-05 0.620E-05 0.868E-06 0.135E-03 0.124E-04 0.953E-07
    55.0 0.618E-10 0.376E-05 0.437E-05 0.153E-05 0.129E-03 0.825E-05 0.518E-07
    56.0 0.201E-09 0.382E-05 0.304E-05 0.251E-05 0.119E-03 0.546E-05 0.248E-07
    57.0 0.579E-09 0.370E-05 0.209E-05 0.386E-05 0.106E-03 0.358E-05 0.155E-08
