E_lab E*/MeV 193Rn 194Rn 195Rn 196Rn 197Rn 198Rn 199Rn
232.071 38.0 0.000E+00 0.000E+00 0.000E+00 0.221E-04 0.124E-04 0.000E+00 0.000E+00
233.425 39.0 0.000E+00 0.000E+00 0.000E+00 0.214E-04 0.785E-05 0.000E+00 0.000E+00
234.779 40.0 0.000E+00 0.000E+00 0.383E-11 0.189E-04 0.484E-05 0.000E+00 0.000E+00
236.132 41.0 0.000E+00 0.000E+00 0.121E-09 0.155E-04 0.293E-05 0.000E+00 0.000E+00
237.486 42.0 0.000E+00 0.000E+00 0.152E-08 0.119E-04 0.173E-05 0.000E+00 0.000E+00
238.840 43.0 0.000E+00 0.000E+00 0.109E-07 0.881E-05 0.101E-05 0.000E+00 0.000E+00
240.194 44.0 0.000E+00 0.000E+00 0.515E-07 0.625E-05 0.566E-06 0.000E+00 0.000E+00
241.547 45.0 0.000E+00 0.000E+00 0.178E-06 0.431E-05 0.307E-06 0.000E+00 0.000E+00
242.901 46.0 0.000E+00 0.000E+00 0.470E-06 0.289E-05 0.146E-06 0.000E+00 0.000E+00
244.255 47.0 0.000E+00 0.000E+00 0.979E-06 0.190E-05 0.212E-07 0.000E+00 0.000E+00
245.608 48.0 0.000E+00 0.000E+00 0.165E-05 0.123E-05 0.000E+00 0.000E+00 0.000E+00
246.962 49.0 0.000E+00 0.000E+00 0.233E-05 0.784E-06 0.000E+00 0.000E+00 0.000E+00
248.316 50.0 0.000E+00 0.000E+00 0.288E-05 0.494E-06 0.000E+00 0.000E+00 0.000E+00
249.670 51.0 0.000E+00 0.176E-11 0.319E-05 0.308E-06 0.000E+00 0.000E+00 0.000E+00
251.023 52.0 0.000E+00 0.200E-10 0.325E-05 0.191E-06 0.000E+00 0.000E+00 0.000E+00
252.377 53.0 0.000E+00 0.146E-09 0.308E-05 0.117E-06 0.000E+00 0.000E+00 0.000E+00
253.731 54.0 0.000E+00 0.729E-09 0.277E-05 0.701E-07 0.000E+00 0.000E+00 0.000E+00
255.085 55.0 0.000E+00 0.266E-08 0.238E-05 0.413E-07 0.000E+00 0.000E+00 0.000E+00
256.438 56.0 0.000E+00 0.736E-08 0.197E-05 0.218E-07 0.000E+00 0.000E+00 0.000E+00
257.792 57.0 0.000E+00 0.162E-07 0.158E-05 0.802E-08 0.000E+00 0.000E+00 0.000E+00
259.146 58.0 0.000E+00 0.294E-07 0.123E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00
260.500 59.0 0.000E+00 0.458E-07 0.939E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
261.853 60.0 0.000E+00 0.628E-07 0.703E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
263.207 61.0 0.000E+00 0.779E-07 0.518E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
264.561 62.0 0.000E+00 0.888E-07 0.376E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
265.915 63.0 0.139E-12 0.947E-07 0.269E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
267.268 64.0 0.113E-11 0.953E-07 0.191E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
268.622 65.0 0.666E-11 0.915E-07 0.134E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
269.976 66.0 0.301E-10 0.843E-07 0.935E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
271.330 67.0 0.107E-09 0.751E-07 0.646E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.683 68.0 0.310E-09 0.649E-07 0.444E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.037 69.0 0.748E-09 0.547E-07 0.303E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.391 70.0 0.154E-08 0.450E-07 0.205E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.745 71.0 0.275E-08 0.364E-07 0.137E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
278.098 72.0 0.438E-08 0.289E-07 0.911E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
279.452 73.0 0.633E-08 0.226E-07 0.583E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.806 74.0 0.843E-08 0.174E-07 0.373E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.160 75.0 0.104E-07 0.133E-07 0.180E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
283.513 76.0 0.122E-07 0.100E-07 0.528E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
284.867 77.0 0.135E-07 0.747E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
