E_lab E*/MeV 251Lr 252Lr 253Lr 254Lr 255Lr 256Lr 257Lr
208.846 16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.830E-13 0.604E-07
210.076 17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.132E-10 0.969E-07
211.305 18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-09 0.116E-06
212.535 19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.128E-08 0.109E-06
213.765 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.639E-08 0.863E-07
214.994 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.236E-07 0.595E-07
216.224 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.680E-07 0.371E-07
217.454 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.286E-12 0.155E-06 0.215E-07
218.683 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.753E-11 0.284E-06 0.118E-07
219.913 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.703E-10 0.425E-06 0.620E-08
221.143 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.419E-09 0.528E-06 0.315E-08
222.372 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-08 0.553E-06 0.155E-08
223.602 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.593E-08 0.499E-06 0.722E-09
224.832 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E-07 0.398E-06 0.283E-09
226.061 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.325E-07 0.287E-06 0.366E-10
227.291 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.567E-07 0.191E-06 0.000E+00
228.521 32.0 0.000E+00 0.000E+00 0.000E+00 0.117E-12 0.830E-07 0.119E-06 0.000E+00
229.750 33.0 0.000E+00 0.000E+00 0.000E+00 0.174E-11 0.104E-06 0.712E-07 0.000E+00
230.980 34.0 0.000E+00 0.000E+00 0.000E+00 0.107E-10 0.113E-06 0.410E-07 0.000E+00
232.210 35.0 0.000E+00 0.000E+00 0.000E+00 0.484E-10 0.109E-06 0.229E-07 0.000E+00
233.439 36.0 0.000E+00 0.000E+00 0.000E+00 0.174E-09 0.950E-07 0.126E-07 0.000E+00
234.669 37.0 0.000E+00 0.000E+00 0.000E+00 0.510E-09 0.762E-07 0.677E-08 0.000E+00
235.899 38.0 0.000E+00 0.000E+00 0.000E+00 0.126E-08 0.572E-07 0.361E-08 0.000E+00
237.128 39.0 0.000E+00 0.000E+00 0.500E-14 0.266E-08 0.406E-07 0.191E-08 0.000E+00
238.358 40.0 0.000E+00 0.000E+00 0.461E-13 0.486E-08 0.276E-07 0.997E-09 0.000E+00
239.588 41.0 0.000E+00 0.000E+00 0.304E-12 0.778E-08 0.182E-07 0.508E-09 0.000E+00
240.817 42.0 0.000E+00 0.000E+00 0.164E-11 0.110E-07 0.116E-07 0.242E-09 0.000E+00
242.047 43.0 0.000E+00 0.000E+00 0.656E-11 0.140E-07 0.725E-08 0.935E-10 0.000E+00
243.277 44.0 0.000E+00 0.000E+00 0.216E-10 0.161E-07 0.445E-08 0.000E+00 0.000E+00
244.506 45.0 0.000E+00 0.000E+00 0.598E-10 0.169E-07 0.269E-08 0.000E+00 0.000E+00
245.736 46.0 0.000E+00 0.000E+00 0.141E-09 0.166E-07 0.160E-08 0.000E+00 0.000E+00
246.966 47.0 0.000E+00 0.000E+00 0.289E-09 0.152E-07 0.947E-09 0.000E+00 0.000E+00
248.195 48.0 0.000E+00 0.000E+00 0.519E-09 0.132E-07 0.554E-09 0.000E+00 0.000E+00
249.425 49.0 0.000E+00 0.244E-14 0.827E-09 0.109E-07 0.320E-09 0.000E+00 0.000E+00
250.655 50.0 0.000E+00 0.149E-13 0.118E-08 0.868E-08 0.181E-09 0.000E+00 0.000E+00
251.884 51.0 0.000E+00 0.824E-13 0.153E-08 0.667E-08 0.980E-10 0.000E+00 0.000E+00
253.114 52.0 0.000E+00 0.324E-12 0.183E-08 0.499E-08 0.456E-10 0.000E+00 0.000E+00
254.344 53.0 0.000E+00 0.108E-11 0.203E-08 0.363E-08 0.101E-10 0.000E+00 0.000E+00
255.573 54.0 0.000E+00 0.311E-11 0.210E-08 0.259E-08 0.000E+00 0.000E+00 0.000E+00
256.803 55.0 0.000E+00 0.782E-11 0.206E-08 0.182E-08 0.000E+00 0.000E+00 0.000E+00
258.033 56.0 0.000E+00 0.174E-10 0.192E-08 0.125E-08 0.000E+00 0.000E+00 0.000E+00
259.262 57.0 0.272E-15 0.344E-10 0.172E-08 0.852E-09 0.000E+00 0.000E+00 0.000E+00
260.492 58.0 0.148E-14 0.614E-10 0.148E-08 0.573E-09 0.000E+00 0.000E+00 0.000E+00
261.722 59.0 0.663E-14 0.995E-10 0.124E-08 0.381E-09 0.000E+00 0.000E+00 0.000E+00
262.951 60.0 0.250E-13 0.148E-09 0.100E-08 0.251E-09 0.000E+00 0.000E+00 0.000E+00
264.181 61.0 0.835E-13 0.203E-09 0.796E-09 0.164E-09 0.000E+00 0.000E+00 0.000E+00
265.411 62.0 0.234E-12 0.261E-09 0.616E-09 0.106E-09 0.000E+00 0.000E+00 0.000E+00
266.640 63.0 0.574E-12 0.314E-09 0.469E-09 0.668E-10 0.000E+00 0.000E+00 0.000E+00
267.870 64.0 0.126E-11 0.357E-09 0.350E-09 0.415E-10 0.000E+00 0.000E+00 0.000E+00
269.100 65.0 0.249E-11 0.386E-09 0.258E-09 0.240E-10 0.000E+00 0.000E+00 0.000E+00
270.329 66.0 0.448E-11 0.400E-09 0.188E-09 0.608E-11 0.000E+00 0.000E+00 0.000E+00
271.559 67.0 0.737E-11 0.398E-09 0.135E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.789 68.0 0.112E-10 0.382E-09 0.958E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.018 69.0 0.159E-10 0.356E-09 0.674E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.248 70.0 0.211E-10 0.322E-09 0.469E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.478 71.0 0.266E-10 0.284E-09 0.324E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.707 72.0 0.317E-10 0.245E-09 0.218E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
278.937 73.0 0.361E-10 0.207E-09 0.139E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.167 74.0 0.395E-10 0.172E-09 0.875E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.396 75.0 0.415E-10 0.140E-09 0.435E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.626 76.0 0.423E-10 0.113E-09 0.918E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00
283.856 77.0 0.417E-10 0.894E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.085 78.0 0.401E-10 0.701E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.315 79.0 0.376E-10 0.543E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.545 80.0 0.345E-10 0.416E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 249Md 250Md 251Md 252Md 253Md 254Md 255Md
201.468 10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.270E-12 0.000E+00 0.000E+00
202.698 11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.573E-11 0.000E+00 0.000E+00
203.927 12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.738E-10 0.000E+00 0.000E+00
205.157 13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.735E-09 0.000E+00 0.000E+00
206.387 14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.548E-08 0.000E+00 0.000E+00
207.616 15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.235E-07 0.000E+00 0.000E+00
208.846 16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.712E-07 0.000E+00 0.000E+00
210.076 17.0 0.000E+00 0.000E+00 0.000E+00 0.358E-12 0.166E-06 0.000E+00 0.000E+00
211.305 18.0 0.000E+00 0.000E+00 0.000E+00 0.619E-10 0.313E-06 0.000E+00 0.000E+00
212.535 19.0 0.000E+00 0.000E+00 0.000E+00 0.789E-09 0.485E-06 0.000E+00 0.182E-16
213.765 20.0 0.000E+00 0.000E+00 0.000E+00 0.411E-08 0.620E-06 0.000E+00 0.420E-15
214.994 21.0 0.000E+00 0.000E+00 0.000E+00 0.153E-07 0.644E-06 0.000E+00 0.435E-14
216.224 22.0 0.000E+00 0.000E+00 0.000E+00 0.462E-07 0.552E-06 0.000E+00 0.306E-13
217.454 23.0 0.000E+00 0.000E+00 0.000E+00 0.117E-06 0.404E-06 0.000E+00 0.162E-12
218.683 24.0 0.000E+00 0.000E+00 0.520E-11 0.250E-06 0.262E-06 0.000E+00 0.684E-12
219.913 25.0 0.000E+00 0.000E+00 0.796E-10 0.466E-06 0.157E-06 0.000E+00 0.237E-11
221.143 26.0 0.000E+00 0.000E+00 0.523E-09 0.765E-06 0.878E-07 0.000E+00 0.686E-11
222.372 27.0 0.000E+00 0.000E+00 0.217E-08 0.111E-05 0.471E-07 0.287E-16 0.169E-10
223.602 28.0 0.000E+00 0.000E+00 0.688E-08 0.142E-05 0.244E-07 0.108E-14 0.355E-10
224.832 29.0 0.000E+00 0.000E+00 0.180E-07 0.160E-05 0.122E-07 0.975E-14 0.646E-10
226.061 30.0 0.000E+00 0.000E+00 0.400E-07 0.157E-05 0.599E-08 0.597E-13 0.103E-09
227.291 31.0 0.000E+00 0.000E+00 0.780E-07 0.137E-05 0.287E-08 0.278E-12 0.144E-09
228.521 32.0 0.000E+00 0.000E+00 0.135E-06 0.107E-05 0.133E-08 0.104E-11 0.179E-09
229.750 33.0 0.000E+00 0.951E-12 0.210E-06 0.758E-06 0.590E-09 0.329E-11 0.199E-09
230.980 34.0 0.000E+00 0.768E-11 0.294E-06 0.502E-06 0.117E-09 0.895E-11 0.200E-09
232.210 35.0 0.000E+00 0.385E-10 0.369E-06 0.315E-06 0.000E+00 0.214E-10 0.184E-09
233.439 36.0 0.000E+00 0.143E-09 0.417E-06 0.190E-06 0.000E+00 0.455E-10 0.157E-09
234.669 37.0 0.000E+00 0.432E-09 0.426E-06 0.111E-06 0.000E+00 0.869E-10 0.124E-09
235.899 38.0 0.000E+00 0.113E-08 0.396E-06 0.630E-07 0.000E+00 0.150E-09 0.931E-10
237.128 39.0 0.000E+00 0.261E-08 0.338E-06 0.353E-07 0.000E+00 0.235E-09 0.662E-10
238.358 40.0 0.429E-13 0.541E-08 0.269E-06 0.195E-07 0.000E+00 0.336E-09 0.452E-10
239.588 41.0 0.314E-12 0.102E-07 0.202E-06 0.106E-07 0.000E+00 0.439E-09 0.298E-10
240.817 42.0 0.165E-11 0.174E-07 0.144E-06 0.576E-08 0.000E+00 0.528E-09 0.191E-10
242.047 43.0 0.687E-11 0.273E-07 0.989E-07 0.311E-08 0.000E+00 0.586E-09 0.120E-10
243.277 44.0 0.233E-10 0.393E-07 0.657E-07 0.167E-08 0.000E+00 0.605E-09 0.735E-11
244.506 45.0 0.682E-10 0.518E-07 0.426E-07 0.882E-09 0.000E+00 0.585E-09 0.444E-11
245.736 46.0 0.176E-09 0.628E-07 0.270E-07 0.461E-09 0.000E+00 0.532E-09 0.265E-11
246.966 47.0 0.405E-09 0.704E-07 0.168E-07 0.232E-09 0.000E+00 0.459E-09 0.155E-11
248.195 48.0 0.846E-09 0.732E-07 0.103E-07 0.948E-10 0.000E+00 0.377E-09 0.886E-12
249.425 49.0 0.161E-08 0.711E-07 0.628E-08 0.000E+00 0.000E+00 0.298E-09 0.496E-12
250.655 50.0 0.280E-08 0.651E-07 0.377E-08 0.000E+00 0.000E+00 0.227E-09 0.248E-12
251.884 51.0 0.445E-08 0.567E-07 0.225E-08 0.000E+00 0.000E+00 0.168E-09 0.136E-13
253.114 52.0 0.652E-08 0.471E-07 0.133E-08 0.000E+00 0.000E+00 0.121E-09 0.000E+00
254.344 53.0 0.880E-08 0.378E-07 0.786E-09 0.000E+00 0.000E+00 0.850E-10 0.000E+00
255.573 54.0 0.110E-07 0.293E-07 0.458E-09 0.000E+00 0.000E+00 0.586E-10 0.000E+00
256.803 55.0 0.128E-07 0.220E-07 0.264E-09 0.000E+00 0.000E+00 0.397E-10 0.000E+00
258.033 56.0 0.139E-07 0.162E-07 0.149E-09 0.000E+00 0.000E+00 0.265E-10 0.000E+00
259.262 57.0 0.143E-07 0.117E-07 0.815E-10 0.726E-11 0.000E+00 0.175E-10 0.000E+00
260.492 58.0 0.140E-07 0.826E-08 0.314E-10 0.178E-10 0.000E+00 0.114E-10 0.000E+00
261.722 59.0 0.130E-07 0.575E-08 0.110E-10 0.281E-10 0.000E+00 0.738E-11 0.000E+00
262.951 60.0 0.117E-07 0.395E-08 0.000E+00 0.484E-10 0.000E+00 0.472E-11 0.000E+00
264.181 61.0 0.101E-07 0.268E-08 0.000E+00 0.660E-10 0.000E+00 0.297E-11 0.000E+00
265.411 62.0 0.844E-08 0.181E-08 0.000E+00 0.818E-10 0.000E+00 0.183E-11 0.000E+00
266.640 63.0 0.688E-08 0.120E-08 0.000E+00 0.499E-10 0.000E+00 0.107E-11 0.000E+00
267.870 64.0 0.548E-08 0.796E-09 0.289E-11 0.500E-10 0.000E+00 0.615E-12 0.000E+00
269.100 65.0 0.427E-08 0.523E-09 0.790E-11 0.000E+00 0.000E+00 0.117E-12 0.000E+00
270.329 66.0 0.327E-08 0.341E-09 0.152E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
271.559 67.0 0.246E-08 0.221E-09 0.240E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.789 68.0 0.182E-08 0.142E-09 0.339E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.018 69.0 0.134E-08 0.885E-10 0.492E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.248 70.0 0.967E-09 0.553E-10 0.564E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.478 71.0 0.693E-09 0.335E-10 0.620E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.707 72.0 0.492E-09 0.147E-10 0.650E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
278.937 73.0 0.346E-09 0.560E-11 0.664E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.167 74.0 0.242E-09 0.257E-11 0.527E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.396 75.0 0.168E-09 0.200E-11 0.342E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.626 76.0 0.116E-09 0.325E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
283.856 77.0 0.792E-10 0.597E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.085 78.0 0.533E-10 0.893E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.315 79.0 0.357E-10 0.123E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.545 80.0 0.222E-10 0.164E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


