E_lab E*/MeV 250No 251No 252No 253No 254No 255No 256No
239.727 43.0 0.000E+00 0.111E-07 0.411E-06 0.133E-06 0.000E+00 0.000E+00 0.000E+00
240.958 44.0 0.000E+00 0.244E-07 0.286E-06 0.735E-07 0.000E+00 0.000E+00 0.000E+00
242.188 45.0 0.199E-13 0.444E-07 0.194E-06 0.405E-07 0.000E+00 0.000E+00 0.000E+00
243.419 46.0 0.277E-12 0.686E-07 0.129E-06 0.220E-07 0.000E+00 0.000E+00 0.000E+00
244.650 47.0 0.237E-11 0.920E-07 0.838E-07 0.119E-07 0.000E+00 0.000E+00 0.000E+00
245.881 48.0 0.140E-10 0.110E-06 0.537E-07 0.570E-08 0.000E+00 0.000E+00 0.000E+00
247.112 49.0 0.601E-10 0.119E-06 0.340E-07 0.233E-08 0.000E+00 0.000E+00 0.000E+00
248.342 50.0 0.198E-09 0.120E-06 0.213E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
249.573 51.0 0.514E-09 0.113E-06 0.132E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
250.804 52.0 0.109E-08 0.101E-06 0.812E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
252.035 53.0 0.196E-08 0.859E-07 0.496E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
253.265 54.0 0.304E-08 0.706E-07 0.301E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
254.496 55.0 0.419E-08 0.562E-07 0.175E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
255.727 56.0 0.524E-08 0.435E-07 0.100E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
256.958 57.0 0.603E-08 0.330E-07 0.541E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
258.188 58.0 0.647E-08 0.244E-07 0.179E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
259.419 59.0 0.656E-08 0.178E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
260.650 60.0 0.634E-08 0.128E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
261.881 61.0 0.586E-08 0.905E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
263.112 62.0 0.523E-08 0.634E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
264.342 63.0 0.452E-08 0.439E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
265.573 64.0 0.380E-08 0.301E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
266.804 65.0 0.312E-08 0.205E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
268.035 66.0 0.251E-08 0.139E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
269.265 67.0 0.198E-08 0.932E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
270.496 68.0 0.154E-08 0.618E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
271.727 69.0 0.117E-08 0.402E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.958 70.0 0.886E-09 0.260E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.188 71.0 0.661E-09 0.142E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.419 72.0 0.488E-09 0.471E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.650 73.0 0.357E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.881 74.0 0.258E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
279.112 75.0 0.185E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.342 76.0 0.132E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.573 77.0 0.933E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.804 78.0 0.633E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
284.035 79.0 0.414E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.265 80.0 0.234E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.496 81.0 0.894E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.727 82.0 0.125E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
288.958 83.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
290.188 84.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
291.419 85.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
292.650 86.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
293.881 87.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
295.112 88.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
296.342 89.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.573 90.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 249Md 250Md 251Md 252Md 253Md 254Md 255Md
213.881 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.434E-13 0.634E-13
215.112 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.302E-12 0.101E-12
216.342 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.206E-14 0.142E-09 0.603E-10
217.573 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.107E-12 0.812E-09 0.105E-09
218.804 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.265E-11 0.395E-08 0.167E-09
220.035 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.422E-10 0.166E-07 0.260E-09
221.265 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.490E-09 0.602E-07 0.395E-09
222.496 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.430E-08 0.183E-06 0.573E-09
223.727 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.272E-07 0.438E-06 0.741E-09
224.958 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.112E-06 0.745E-06 0.749E-09
226.188 32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.289E-06 0.856E-06 0.543E-09
227.419 33.0 0.000E+00 0.000E+00 0.000E+00 0.173E-11 0.519E-06 0.720E-06 0.294E-09
228.650 34.0 0.000E+00 0.000E+00 0.000E+00 0.173E-10 0.729E-06 0.502E-06 0.443E-10
229.881 35.0 0.000E+00 0.000E+00 0.000E+00 0.106E-09 0.865E-06 0.316E-06 0.000E+00
231.112 36.0 0.000E+00 0.000E+00 0.000E+00 0.466E-09 0.901E-06 0.188E-06 0.000E+00
232.342 37.0 0.000E+00 0.000E+00 0.000E+00 0.160E-08 0.843E-06 0.108E-06 0.000E+00
233.573 38.0 0.000E+00 0.000E+00 0.000E+00 0.448E-08 0.721E-06 0.604E-07 0.000E+00
234.804 39.0 0.000E+00 0.000E+00 0.000E+00 0.107E-07 0.572E-06 0.333E-07 0.000E+00
236.035 40.0 0.000E+00 0.000E+00 0.257E-12 0.220E-07 0.427E-06 0.182E-07 0.000E+00
237.265 41.0 0.000E+00 0.000E+00 0.201E-11 0.401E-07 0.303E-06 0.986E-08 0.000E+00
238.496 42.0 0.000E+00 0.000E+00 0.115E-10 0.651E-07 0.207E-06 0.530E-08 0.000E+00
239.727 43.0 0.000E+00 0.000E+00 0.503E-10 0.950E-07 0.137E-06 0.283E-08 0.000E+00
240.958 44.0 0.000E+00 0.000E+00 0.179E-09 0.125E-06 0.877E-07 0.150E-08 0.000E+00
