E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
469.767 76.0 0.914E-11 0.118E-05 0.196E-04 0.234E-05 0.000E+00 0.000E+00 0.000E+00
471.767 77.0 0.309E-10 0.160E-05 0.163E-04 0.162E-05 0.000E+00 0.000E+00 0.000E+00
473.767 78.0 0.933E-10 0.204E-05 0.134E-04 0.111E-05 0.000E+00 0.000E+00 0.000E+00
475.767 79.0 0.254E-09 0.250E-05 0.108E-04 0.760E-06 0.000E+00 0.000E+00 0.000E+00
477.767 80.0 0.628E-09 0.292E-05 0.864E-05 0.517E-06 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 178Hg 179Hg 180Hg 181Hg 182Hg 183Hg 184Hg
357.767 20.0 0.000E+00 0.000E+00 0.000E+00 0.286E-09 0.507E-05 0.000E+00 0.149E-05
359.767 21.0 0.000E+00 0.000E+00 0.000E+00 0.526E-08 0.183E-04 0.000E+00 0.663E-05
361.767 22.0 0.000E+00 0.000E+00 0.000E+00 0.418E-07 0.509E-04 0.000E+00 0.228E-04
363.767 23.0 0.000E+00 0.000E+00 0.000E+00 0.224E-06 0.112E-03 0.240E-09 0.636E-04
365.767 24.0 0.000E+00 0.000E+00 0.000E+00 0.943E-06 0.204E-03 0.620E-08 0.152E-03
367.767 25.0 0.000E+00 0.000E+00 0.000E+00 0.336E-05 0.314E-03 0.614E-07 0.324E-03
369.767 26.0 0.000E+00 0.000E+00 0.000E+00 0.106E-04 0.420E-03 0.348E-06 0.627E-03
371.767 27.0 0.000E+00 0.000E+00 0.000E+00 0.295E-04 0.499E-03 0.139E-05 0.112E-02
373.767 28.0 0.000E+00 0.000E+00 0.000E+00 0.738E-04 0.533E-03 0.444E-05 0.183E-02
375.767 29.0 0.000E+00 0.000E+00 0.000E+00 0.165E-03 0.521E-03 0.122E-04 0.277E-02
377.767 30.0 0.000E+00 0.000E+00 0.602E-09 0.331E-03 0.471E-03 0.309E-04 0.388E-02
379.767 31.0 0.000E+00 0.000E+00 0.591E-08 0.601E-03 0.397E-03 0.731E-04 0.503E-02
381.767 32.0 0.000E+00 0.000E+00 0.353E-07 0.993E-03 0.315E-03 0.162E-03 0.603E-02
383.767 33.0 0.000E+00 0.000E+00 0.157E-06 0.150E-02 0.237E-03 0.335E-03 0.672E-02
385.767 34.0 0.000E+00 0.000E+00 0.567E-06 0.206E-02 0.169E-03 0.641E-03 0.699E-02
387.767 35.0 0.000E+00 0.000E+00 0.176E-05 0.260E-02 0.116E-03 0.113E-02 0.682E-02
389.767 36.0 0.000E+00 0.000E+00 0.480E-05 0.299E-02 0.767E-04 0.186E-02 0.627E-02
391.767 37.0 0.000E+00 0.000E+00 0.117E-04 0.315E-02 0.491E-04 0.284E-02 0.546E-02
393.767 38.0 0.000E+00 0.000E+00 0.255E-04 0.307E-02 0.313E-04 0.407E-02 0.454E-02
395.767 39.0 0.000E+00 0.000E+00 0.507E-04 0.278E-02 0.214E-04 0.549E-02 0.361E-02
397.767 40.0 0.000E+00 0.000E+00 0.920E-04 0.237E-02 0.187E-04 0.701E-02 0.277E-02
399.767 41.0 0.000E+00 0.000E+00 0.154E-03 0.191E-02 0.244E-04 0.845E-02 0.205E-02
401.767 42.0 0.000E+00 0.000E+00 0.239E-03 0.148E-02 0.415E-04 0.967E-02 0.148E-02
403.767 43.0 0.000E+00 0.192E-08 0.344E-03 0.110E-02 0.761E-04 0.105E-01 0.104E-02
405.767 44.0 0.000E+00 0.820E-08 0.463E-03 0.790E-03 0.136E-03 0.108E-01 0.713E-03
407.767 45.0 0.000E+00 0.296E-07 0.582E-03 0.553E-03 0.233E-03 0.107E-01 0.481E-03
409.767 46.0 0.000E+00 0.946E-07 0.682E-03 0.378E-03 0.377E-03 0.101E-01 0.319E-03
411.767 47.0 0.000E+00 0.273E-06 0.750E-03 0.253E-03 0.577E-03 0.916E-02 0.209E-03
