   451.638    5.02    84.0  0.2923E+03  0.7961E-01  0.2917E+03    72.0       99.78
   455.438    5.06    86.0  0.2931E+03  0.6666E-01  0.2925E+03    72.0       99.77
   459.238    5.10    88.0  0.2931E+03  0.5847E-01  0.2924E+03    72.0       99.76
   463.038    5.14    90.0  0.2923E+03  0.5400E-01  0.2916E+03    72.0       99.75
   466.838    5.19    92.0  0.2910E+03  0.4591E-01  0.2902E+03    72.0       99.74
   470.638    5.23    94.0  0.2893E+03  0.3927E-01  0.2885E+03    72.0       99.72
   474.438    5.27    96.0  0.2874E+03  0.2901E-01  0.2866E+03    72.0       99.71
   478.238    5.31    98.0  0.2853E+03  0.2352E-01  0.2845E+03    72.0       99.69
   482.038    5.36   100.0  0.2832E+03  0.1984E-01  0.2823E+03    72.0       99.68

     Querschnitte / mbarn

  E*/MeV   185Pb     186Pb     187Pb     188Pb     189Pb     190Pb  
    84.0 0.100E-03 0.219E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    86.0 0.561E-04 0.927E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    88.0 0.305E-04 0.380E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    90.0 0.163E-04 0.146E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    92.0 0.851E-05 0.433E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    94.0 0.438E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    96.0 0.221E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    98.0 0.110E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
   100.0 0.543E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   184Tl     185Tl     186Tl     187Tl     188Tl     189Tl  
    84.0 0.458E-02 0.324E-02 0.538E-04 0.895E-07 0.000E+00 0.000E+00
    86.0 0.412E-02 0.189E-02 0.242E-04 0.000E+00 0.000E+00 0.000E+00
    88.0 0.342E-02 0.107E-02 0.107E-04 0.000E+00 0.000E+00 0.000E+00
    90.0 0.296E-02 0.817E-03 0.814E-05 0.000E+00 0.000E+00 0.000E+00
    92.0 0.222E-02 0.446E-03 0.350E-05 0.000E+00 0.000E+00 0.000E+00
    94.0 0.158E-02 0.238E-03 0.146E-05 0.000E+00 0.000E+00 0.000E+00
    96.0 0.108E-02 0.125E-03 0.582E-06 0.000E+00 0.000E+00 0.000E+00
    98.0 0.708E-03 0.640E-04 0.208E-06 0.000E+00 0.000E+00 0.000E+00
   100.0 0.449E-03 0.323E-04 0.354E-07 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   183Hg     184Hg     185Hg     186Hg     187Hg     188Hg  
    84.0 0.345E-02 0.495E-01 0.184E-01 0.197E-03 0.110E-05 0.000E+00
    86.0 0.573E-02 0.474E-01 0.743E-02 0.000E+00 0.419E-06 0.000E+00
    88.0 0.872E-02 0.417E-01 0.352E-02 0.000E+00 0.142E-06 0.000E+00
    90.0 0.103E-01 0.380E-01 0.195E-02 0.000E+00 0.139E-07 0.000E+00
    92.0 0.134E-01 0.291E-01 0.731E-03 0.000E+00 0.000E+00 0.000E+00
    94.0 0.147E-01 0.225E-01 0.334E-03 0.000E+00 0.000E+00 0.000E+00
    96.0 0.166E-01 0.111E-01 0.829E-04 0.000E+00 0.000E+00 0.000E+00
    98.0 0.175E-01 0.525E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00
   100.0 0.172E-01 0.221E-02 0.000E+00 0.000E+00 0.000E+00 0.000E+00

 Z-Verteilung  
 E*/MeV     Hg         Tl         Pb  
   84.0  0.716E-01 0.788E-02 0.103E-03
   86.0  0.606E-01 0.604E-02 0.570E-04
   88.0  0.539E-01 0.450E-02 0.309E-04
   90.0  0.502E-01 0.379E-02 0.164E-04
   92.0  0.432E-01 0.267E-02 0.855E-05
   94.0  0.374E-01 0.182E-02 0.438E-05
   96.0  0.278E-01 0.121E-02 0.221E-05
   98.0  0.227E-01 0.773E-03 0.110E-05
  100.0  0.194E-01 0.482E-03 0.543E-06

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    84.0     80.10      0.31    184.24      0.52
    86.0     80.09      0.29    184.06      0.47
    88.0     80.08      0.27    183.93      0.47
    90.0     80.07      0.26    183.86      0.47
    92.0     80.06      0.24    183.73      0.50
    94.0     80.05      0.21    183.64      0.51
    96.0     80.04      0.20    183.43      0.51
    98.0     80.03      0.18    183.26      0.44
   100.0     80.02      0.15    183.14      0.35
                                                                        
           



 Ende HIVAP 
