E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
225.280	94.0	0.000E+00	0.000E+00	0.543E-02	0.588E+00	0.217E+01	0.270E+00	0.105E-01	0.117E-04	0.000E+00	0.000E+00	0.000E+00
226.522	95.0	0.000E+00	0.000E+00	0.964E-02	0.674E+00	0.198E+01	0.210E+00	0.746E-02	0.678E-05	0.000E+00	0.000E+00	0.000E+00
227.765	96.0	0.000E+00	0.000E+00	0.162E-01	0.755E+00	0.179E+01	0.162E+00	0.529E-02	0.376E-05	0.000E+00	0.000E+00	0.000E+00
229.007	97.0	0.000E+00	0.187E-06	0.257E-01	0.828E+00	0.160E+01	0.125E+00	0.373E-02	0.216E-05	0.000E+00	0.000E+00	0.000E+00
230.249	98.0	0.000E+00	0.685E-06	0.390E-01	0.889E+00	0.141E+01	0.951E-01	0.262E-02	0.931E-06	0.000E+00	0.000E+00	0.000E+00
231.492	99.0	0.000E+00	0.220E-05	0.566E-01	0.938E+00	0.123E+01	0.721E-01	0.184E-02	0.240E-06	0.000E+00	0.000E+00	0.000E+00
232.734	100.0	0.000E+00	0.636E-05	0.791E-01	0.971E+00	0.106E+01	0.544E-01	0.128E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.977	101.0	0.000E+00	0.167E-04	0.106E+00	0.988E+00	0.907E+00	0.408E-01	0.892E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.219	102.0	0.000E+00	0.402E-04	0.139E+00	0.990E+00	0.768E+00	0.305E-01	0.618E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.462	103.0	0.000E+00	0.894E-04	0.175E+00	0.977E+00	0.645E+00	0.227E-01	0.426E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.704	104.0	0.000E+00	0.185E-03	0.215E+00	0.949E+00	0.537E+00	0.168E-01	0.283E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.946	105.0	0.000E+00	0.360E-03	0.257E+00	0.910E+00	0.444E+00	0.124E-01	0.174E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.189	106.0	0.000E+00	0.660E-03	0.301E+00	0.861E+00	0.364E+00	0.907E-02	0.103E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.431	107.0	0.000E+00	0.114E-02	0.343E+00	0.805E+00	0.296E+00	0.663E-02	0.596E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.674	108.0	0.000E+00	0.189E-02	0.384E+00	0.743E+00	0.240E+00	0.483E-02	0.345E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.916	109.0	0.149E-06	0.298E-02	0.421E+00	0.678E+00	0.193E+00	0.350E-02	0.202E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
245.159	110.0	0.460E-06	0.451E-02	0.454E+00	0.612E+00	0.154E+00	0.253E-02	0.120E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.401	111.0	0.129E-05	0.657E-02	0.480E+00	0.547E+00	0.122E+00	0.181E-02	0.713E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
247.643	112.0	0.330E-05	0.925E-02	0.500E+00	0.484E+00	0.967E-01	0.130E-02	0.425E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
248.886	113.0	0.783E-05	0.126E-01	0.512E+00	0.425E+00	0.760E-01	0.922E-03	0.251E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
250.128	114.0	0.173E-04	0.167E-01	0.518E+00	0.369E+00	0.594E-01	0.650E-03	0.148E-05	0.000E+00	0.000E+00	0.000E+00	0.576E-06
251.371	115.0	0.359E-04	0.215E-01	0.515E+00	0.318E+00	0.463E-01	0.453E-03	0.897E-06	0.000E+00	0.000E+00	0.000E+00	0.621E-06
252.613	116.0	0.703E-04	0.270E-01	0.507E+00	0.272E+00	0.359E-01	0.268E-03	0.470E-06	0.000E+00	0.000E+00	0.000E+00	0.672E-06
253.856	117.0	0.130E-03	0.331E-01	0.492E+00	0.231E+00	0.277E-01	0.182E-03	0.247E-06	0.000E+00	0.000E+00	0.000E+00	0.721E-06
255.098	118.0	0.229E-03	0.398E-01	0.472E+00	0.195E+00	0.213E-01	0.105E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.773E-06
256.340	119.0	0.386E-03	0.467E-01	0.447E+00	0.163E+00	0.163E-01	0.572E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.828E-06
257.583	120.0	0.623E-03	0.539E-01	0.420E+00	0.136E+00	0.124E-01	0.305E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.888E-06
258.825	121.0	0.931E-03	0.602E-01	0.392E+00	0.114E+00	0.958E-02	0.163E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.950E-06
260.068	122.0	0.140E-02	0.671E-01	0.361E+00	0.939E-01	0.722E-02	0.864E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-05
261.310	123.0	0.208E-02	0.741E-01	0.327E+00	0.755E-01	0.530E-02	0.454E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-05
262.552	124.0	0.292E-02	0.798E-01	0.295E+00	0.614E-01	0.395E-02	0.238E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.116E-05
263.795	125.0	0.397E-02	0.846E-01	0.264E+00	0.497E-01	0.292E-02	0.124E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-05
265.037	126.0	0.524E-02	0.885E-01	0.235E+00	0.400E-01	0.213E-02	0.642E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-05
266.280	127.0	0.675E-02	0.913E-01	0.207E+00	0.321E-01	0.124E-02	0.187E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-05
267.522	128.0	0.849E-02	0.930E-01	0.181E+00	0.256E-01	0.721E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.149E-05
268.765	129.0	0.104E-01	0.935E-01	0.158E+00	0.203E-01	0.421E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-05
270.007	130.0	0.126E-01	0.930E-01	0.136E+00	0.160E-01	0.250E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.426E-06	0.169E-05
271.249	131.0	0.148E-01	0.914E-01	0.117E+00	0.126E-01	0.148E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.459E-06	0.179E-05
272.492	132.0	0.171E-01	0.889E-01	0.998E-01	0.981E-02	0.954E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.492E-06	0.190E-05
273.734	133.0	0.194E-01	0.856E-01	0.847E-01	0.760E-02	0.550E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.527E-06	0.202E-05
274.977	134.0	0.217E-01	0.817E-01	0.715E-01	0.576E-02	0.271E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.564E-06	0.213E-05
276.219	135.0	0.238E-01	0.772E-01	0.600E-01	0.435E-02	0.150E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.603E-06	0.226E-05
277.462	136.0	0.257E-01	0.723E-01	0.501E-01	0.323E-02	0.758E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.645E-06	0.239E-05
278.704	137.0	0.274E-01	0.671E-01	0.416E-01	0.244E-02	0.485E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.689E-06	0.252E-05
279.946	138.0	0.288E-01	0.618E-01	0.344E-01	0.175E-02	0.273E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.736E-06	0.266E-05
281.189	139.0	0.299E-01	0.565E-01	0.283E-01	0.121E-02	0.163E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.786E-06	0.281E-05
282.431	140.0	0.306E-01	0.513E-01	0.232E-01	0.613E-03	0.994E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.839E-06	0.296E-05
