E_lab	E*/MeV	193Bi	194Bi	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
227.765	96.0	0.779E-03	0.170E+00	0.105E+01	0.218E+00	0.187E+00	0.202E+00	0.121E-01	0.325E-05	0.000E+00	0.000E+00	0.000E+00
229.007	97.0	0.151E-02	0.209E+00	0.100E+01	0.178E+00	0.208E+00	0.183E+00	0.811E-02	0.130E-05	0.000E+00	0.000E+00	0.000E+00
230.249	98.0	0.249E-02	0.235E+00	0.974E+00	0.166E+00	0.230E+00	0.173E+00	0.714E-02	0.107E-05	0.000E+00	0.000E+00	0.000E+00
231.492	99.0	0.431E-02	0.276E+00	0.914E+00	0.137E+00	0.248E+00	0.154E+00	0.486E-02	0.417E-06	0.000E+00	0.000E+00	0.000E+00
232.734	100.0	0.711E-02	0.317E+00	0.847E+00	0.115E+00	0.266E+00	0.131E+00	0.324E-02	0.132E-06	0.000E+00	0.000E+00	0.000E+00
233.977	101.0	0.873E-02	0.320E+00	0.837E+00	0.120E+00	0.263E+00	0.119E+00	0.197E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.219	102.0	0.133E-01	0.357E+00	0.766E+00	0.106E+00	0.278E+00	0.992E-01	0.117E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.462	103.0	0.196E-01	0.391E+00	0.693E+00	0.965E-01	0.291E+00	0.793E-01	0.702E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.704	104.0	0.262E-01	0.418E+00	0.626E+00	0.931E-01	0.300E+00	0.510E-01	0.398E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.946	105.0	0.362E-01	0.441E+00	0.555E+00	0.937E-01	0.305E+00	0.317E-01	0.233E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.189	106.0	0.486E-01	0.457E+00	0.487E+00	0.981E-01	0.300E+00	0.198E-01	0.116E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.431	107.0	0.633E-01	0.465E+00	0.424E+00	0.104E+00	0.289E+00	0.119E-01	0.616E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.674	108.0	0.802E-01	0.467E+00	0.366E+00	0.114E+00	0.273E+00	0.697E-02	0.246E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.916	109.0	0.989E-01	0.461E+00	0.314E+00	0.127E+00	0.256E+00	0.440E-02	0.994E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
245.159	110.0	0.119E+00	0.448E+00	0.269E+00	0.140E+00	0.233E+00	0.244E-02	0.401E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.401	111.0	0.140E+00	0.431E+00	0.230E+00	0.154E+00	0.213E+00	0.167E-02	0.227E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
247.643	112.0	0.162E+00	0.408E+00	0.197E+00	0.168E+00	0.183E+00	0.784E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
248.886	113.0	0.162E+00	0.402E+00	0.201E+00	0.166E+00	0.180E+00	0.372E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
250.128	114.0	0.182E+00	0.377E+00	0.175E+00	0.178E+00	0.125E+00	0.190E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
251.371	115.0	0.201E+00	0.349E+00	0.154E+00	0.190E+00	0.105E+00	0.901E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
252.613	116.0	0.219E+00	0.321E+00	0.139E+00	0.199E+00	0.714E-01	0.426E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
253.856	117.0	0.234E+00	0.291E+00	0.128E+00	0.205E+00	0.470E-01	0.186E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
255.098	118.0	0.247E+00	0.261E+00	0.122E+00	0.206E+00	0.358E-01	0.727E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
256.340	119.0	0.257E+00	0.233E+00	0.120E+00	0.204E+00	0.257E-01	0.328E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
257.583	120.0	0.263E+00	0.205E+00	0.121E+00	0.196E+00	0.164E-01	0.971E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
258.825	121.0	0.266E+00	0.180E+00	0.125E+00	0.183E+00	0.107E-01	0.344E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
260.068	122.0	0.266E+00	0.157E+00	0.130E+00	0.165E+00	0.694E-02	0.109E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
261.310	123.0	0.263E+00	0.136E+00	0.138E+00	0.146E+00	0.490E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
262.552	124.0	0.256E+00	0.118E+00	0.147E+00	0.126E+00	0.320E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
263.795	125.0	0.248E+00	0.102E+00	0.156E+00	0.110E+00	0.222E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
265.037	126.0	0.237E+00	0.891E-01	0.165E+00	0.891E-01	0.151E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
266.280	127.0	0.233E+00	0.907E-01	0.160E+00	0.876E-01	0.107E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
267.522	128.0	0.221E+00	0.801E-01	0.168E+00	0.712E-01	0.486E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
268.765	129.0	0.208E+00	0.715E-01	0.174E+00	0.396E-01	0.284E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.007	130.0	0.193E+00	0.651E-01	0.176E+00	0.232E-01	0.137E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.249	131.0	0.178E+00	0.607E-01	0.175E+00	0.161E-01	0.669E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
272.492	132.0	0.163E+00	0.580E-01	0.168E+00	0.912E-02	0.288E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
273.734	133.0	0.148E+00	0.569E-01	0.164E+00	0.575E-02	0.170E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.977	134.0	0.134E+00	0.572E-01	0.152E+00	0.331E-02	0.576E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
276.219	135.0	0.120E+00	0.586E-01	0.974E-01	0.193E-02	0.141E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.462	136.0	0.107E+00	0.609E-01	0.877E-01	0.117E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
278.704	137.0	0.955E-01	0.639E-01	0.775E-01	0.759E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.946	138.0	0.850E-01	0.692E-01	0.683E-01	0.510E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.189	139.0	0.855E-01	0.675E-01	0.664E-01	0.185E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
282.431	140.0	0.762E-01	0.708E-01	0.560E-01	0.789E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
