E_lab	E*/MeV	195At	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
209.128	81.0	0.000E+00	0.000E+00	0.211E-04	0.311E-01	0.280E+00	0.371E-01	0.737E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
210.371	82.0	0.000E+00	0.000E+00	0.544E-04	0.362E-01	0.233E+00	0.266E-01	0.475E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
211.613	83.0	0.000E+00	0.000E+00	0.123E-03	0.408E-01	0.191E+00	0.190E-01	0.306E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
212.856	84.0	0.000E+00	0.000E+00	0.248E-03	0.447E-01	0.155E+00	0.135E-01	0.196E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
214.098	85.0	0.000E+00	0.000E+00	0.456E-03	0.475E-01	0.124E+00	0.954E-02	0.125E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
215.340	86.0	0.000E+00	0.000E+00	0.773E-03	0.492E-01	0.981E-01	0.671E-02	0.793E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.000E+00	0.000E+00	0.122E-02	0.498E-01	0.769E-01	0.470E-02	0.501E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.000E+00	0.000E+00	0.181E-02	0.491E-01	0.597E-01	0.328E-02	0.314E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.000E+00	0.000E+00	0.255E-02	0.475E-01	0.460E-01	0.228E-02	0.195E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.000E+00	0.189E-07	0.340E-02	0.450E-01	0.352E-01	0.158E-02	0.120E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
221.552	91.0	0.000E+00	0.699E-07	0.435E-02	0.418E-01	0.267E-01	0.109E-02	0.720E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
222.795	92.0	0.000E+00	0.220E-06	0.534E-02	0.382E-01	0.201E-01	0.747E-03	0.366E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
224.037	93.0	0.000E+00	0.602E-06	0.632E-02	0.343E-01	0.151E-01	0.512E-03	0.161E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
225.280	94.0	0.000E+00	0.146E-05	0.723E-02	0.304E-01	0.112E-01	0.349E-03	0.637E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
226.522	95.0	0.000E+00	0.319E-05	0.801E-02	0.265E-01	0.833E-02	0.238E-03	0.425E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
227.765	96.0	0.000E+00	0.638E-05	0.862E-02	0.228E-01	0.614E-02	0.161E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
229.007	97.0	0.000E+00	0.118E-04	0.904E-02	0.194E-01	0.451E-02	0.109E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
230.249	98.0	0.000E+00	0.204E-04	0.925E-02	0.164E-01	0.330E-02	0.733E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
231.492	99.0	0.000E+00	0.332E-04	0.926E-02	0.136E-01	0.240E-02	0.491E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.734	100.0	0.000E+00	0.512E-04	0.908E-02	0.112E-01	0.174E-02	0.328E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.977	101.0	0.219E-08	0.753E-04	0.873E-02	0.919E-02	0.126E-02	0.218E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.219	102.0	0.716E-08	0.106E-03	0.824E-02	0.746E-02	0.904E-03	0.144E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.462	103.0	0.206E-07	0.143E-03	0.766E-02	0.600E-02	0.649E-03	0.730E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.704	104.0	0.530E-07	0.186E-03	0.701E-02	0.479E-02	0.463E-03	0.378E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.946	105.0	0.124E-06	0.234E-03	0.633E-02	0.380E-02	0.330E-03	0.197E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.189	106.0	0.266E-06	0.284E-03	0.564E-02	0.300E-02	0.234E-03	0.104E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.431	107.0	0.527E-06	0.336E-03	0.497E-02	0.235E-02	0.166E-03	0.570E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.674	108.0	0.977E-06	0.385E-03	0.432E-02	0.183E-02	0.117E-03	0.294E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.916	109.0	0.170E-05	0.431E-03	0.373E-02	0.142E-02	0.821E-04	0.150E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
245.159	110.0	0.279E-05	0.471E-03	0.318E-02	0.110E-02	0.574E-04	0.295E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.401	111.0	0.436E-05	0.503E-03	0.269E-02	0.841E-03	0.399E-04	0.565E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
247.643	112.0	0.648E-05	0.526E-03	0.225E-02	0.643E-03	0.274E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
248.886	113.0	0.923E-05	0.539E-03	0.188E-02	0.489E-03	0.147E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
250.128	114.0	0.126E-04	0.543E-03	0.155E-02	0.371E-03	0.772E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
251.371	115.0	0.166E-04	0.538E-03	0.127E-02	0.280E-03	0.418E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
252.613	116.0	0.212E-04	0.525E-03	0.104E-02	0.211E-03	0.230E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
253.856	117.0	0.261E-04	0.504E-03	0.838E-03	0.158E-03	0.125E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
255.098	118.0	0.313E-04	0.478E-03	0.675E-03	0.118E-03	0.661E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
256.340	119.0	0.364E-04	0.447E-03	0.541E-03	0.877E-04	0.353E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
257.583	120.0	0.414E-04	0.413E-03	0.431E-03	0.649E-04	0.202E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
258.825	121.0	0.460E-04	0.378E-03	0.342E-03	0.477E-04	0.128E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
260.068	122.0	0.500E-04	0.342E-03	0.270E-03	0.348E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
261.310	123.0	0.532E-04	0.306E-03	0.212E-03	0.251E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
262.552	124.0	0.557E-04	0.272E-03	0.166E-03	0.177E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
263.795	125.0	0.572E-04	0.239E-03	0.129E-03	0.121E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
