E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
253.856	117.0	0.665E-05	0.245E-02	0.563E-01	0.334E-01	0.453E-02	0.388E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.676E-06
255.098	118.0	0.118E-04	0.295E-02	0.532E-01	0.279E-01	0.344E-02	0.210E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.726E-06
256.340	119.0	0.199E-04	0.348E-02	0.497E-01	0.233E-01	0.260E-02	0.111E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.778E-06
257.583	120.0	0.312E-04	0.397E-02	0.463E-01	0.195E-01	0.198E-02	0.573E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.835E-06
258.825	121.0	0.487E-04	0.450E-02	0.424E-01	0.160E-01	0.148E-02	0.297E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.895E-06
260.068	122.0	0.732E-04	0.500E-02	0.384E-01	0.131E-01	0.110E-02	0.152E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.957E-06
261.310	123.0	0.106E-03	0.547E-02	0.346E-01	0.107E-01	0.815E-03	0.772E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-05
262.552	124.0	0.149E-03	0.588E-02	0.308E-01	0.864E-02	0.588E-03	0.304E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-05
263.795	125.0	0.203E-03	0.622E-02	0.272E-01	0.696E-02	0.422E-03	0.143E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.117E-05
265.037	126.0	0.275E-03	0.651E-02	0.236E-01	0.548E-02	0.292E-03	0.395E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.125E-05
266.280	127.0	0.353E-03	0.669E-02	0.205E-01	0.437E-02	0.159E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.311E-06	0.133E-05
267.522	128.0	0.443E-03	0.678E-02	0.177E-01	0.347E-02	0.875E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.334E-06	0.141E-05
